"Image","CAS Number","Latest Process","PublicParticipation","Open forPublic Comments","Chemical Name"
"","50933-33-0","Reregistration","","","7,11-Hexadecadien-1-ol, acetate"
"","53042-79-8","Reregistration","","","7,11-Hexadecadien-1-ol, acetate, (E,Z)-"
"","52207-99-5","Reregistration","","","7,11-Hexadecadien-1-ol, acetate, (Z,Z)-"
"","84-65-1","Registered","","","Anthraquinone"
"","31654-77-0","Registered","","","(Z,E)-9,12-Tetradecadien-1-ol acetate"
"","67601-10-9","Registered","","","9-Decen-1-ol, 3-methyl-6-(1-methylethenyl)- acetate, (3S,6S)-"
"","67601-06-3","Registered","","","9-Decen-1-ol, 3-methyl-6-(1-methylethenyl)-, acetate. (3S,6R)-"
"","35148-19-7","Registered","","","(E)-9-Dodecen-1-ol acetate"
"","16974-11-1","Registered","","","9-Dodecenyl acetate, (Z)-"
"","35153-15-2","Registered","","","(Z)-9-Tetradecen-1-ol"
"","","Registered","","","A blend of CrylA(c) and CrylC derived*delta endotoxins of Bacillus thuringiensis encapsulated in killed pseudomonas fluorescens (*Patent pending)"
"","127-41-3","Registration Review","","","3-Buten-2-one, 4-(2,6,6-trimethyl-2-cyclohexen-1-yl)-, (E)-"
"","55720-26-8","Registration Review","","","3-Butenoic acid, 2-amino-4-(2-aminoethoxy)-, monohydrochloride, (S-(E))-"
"","","Pending Registration","","","3-Ketopetromyzonol sulfate"
"","1193-18-6","Registration Review","","","3-Methyl-2-cyclohexen-1-one"
"","","Registration Review","","","Agrobacterium radiobacter (strain K84)"
"","","Registered","","","Agrobacterium radiobacter strain K1026"
"","64742-89-8","Reregistration","","","Aliphatic petroleum solvent"
"","","Registration Review","","","Alternaria destruens strain 059"
"","10043-01-3","None","","","Aluminum sulfate"
"","6484-52-2","None","","","Ammonium nitrate"
"","","Registration Review","","","Ampelomyces quisqualis isolate M-10"
"","","Reregistration","","","Anagrapha falcifera multi-nuclear polyhedrosis virus polyhedral inclusion bodies in aqueous suspension"
"","","Registered","","","Aspergillus flavus strain AF36"
"","","Registered","","","Aspergillus flavus NRRL 21882"
"","108168-76-9","Registration Review","","","Azadirachtin"
"","86-50-0","Registration Review","","","Azinphos-Methyl"
"","","Registered","","","Bacillus cereus strain BP01"
"","","Registration Review","","","Bacillus licheniformis strain SB3086"
"","","None","","","Bacillus megaterium"
"","","None","","","Bacillus popilliae and B. lentimorbus"
"","","Registration Review","","","Bacillus pumilus strain GB34"
"","","Registration Review","","","Bacillus pumilus strain QST 2808"
"","","Registration Review","","","Bacillus subtilis GB03"
"","","Registration Review","","","Bacillus amyloliquefaciens MBI 600 (antecedent Bacillus subtilis MBI 600)"
"","","Registration Review","","","Bacillus subtilis var. amyloliquefaciens strain FZB24"
"","68038-71-1","Reregistration","","","Bacillus thuringiensis (Berliner)"
"","","Registered","","","Bacillus thuringiensis Cry1F protein and the genetic material necessary for its production (plasmid insert PHI8999) in corn"
"","","None","","","Bacillus thuringiensis Cry2Ab protein and the genetic material necessary for its production (Vector ZMBK28) in corn"
"","","Registered","","","Bacillus thuringiensis Cry2Ab protein and the genetic material necessary for its production (vector GHBK11) in cotton"
"","","Registered","","","Bacillus thuringiensis Cry34Ab1 and Cry35Ab1 proteins and the genetic material necessary for their production in corn"
"","","None","","","Bacillus thuringiensis Cry3Bb protein and the genetic material necessary for its production (Vector ZMIR 12L) in corn"
"","","Registered","","","Bacillus thuringiensis Cry3B1 protein and the genetic material necessary for its production (Vector ZMIR 13L) in corn"
"","","None","","","Bacillus thuringiensis Cry3Bb protein and the genetic material necessary for its production (Vector ZMIR 14L) in corn"
"","","Registered","","","Bacillus thuringiensis Cry3Bb1 protein and the genetic material necessary (vector ZMIR39) for its production in corn"
"","","Registered","","","Bacillus thuringiensis CryIA(b) delta-endotoxin and the genetic material necessary for its production (plasmid vector pZ01502) in corn, when used as a plant pesticide in all raw agricultural commodities of field corn, sweet corn and popcorn."
"","","None","","","Bacillus thuringiensis VIP3A protein and the genetic material necessary for its production (pCOT1 in cotton)"
"","","None","","","Bacillus thuringiensis serovar japonensis strain buibui"
"","","None","","","Bacillus thuringiensis sub. kurstaki strain EG7673 Coleopteran active toxin"
"","","None","","","Bacillus thuringiensis sub. kurstaki strain EG7673 Lepidopteran active toxin"
"","68038-71-1","None","","","Bacillus thuringiensis subsp. aizawai"
"","","Registration Review","","","Bacillus thuringiensis subsp. aizawai strain GC-91"
"","","Registration Review","","","Bacillus thuringiensis aizawai strain NB200"
"","68038-71-1","Registration Review","","","Bacillus thuringiensis subsp. israelensis"
"","68038-71-1","Registration Review","","","Bacillus thuringiensis subsp. kurstaki"
"","","None","","","Bacillus thuringiensis subsp. kurstaki CryIA (c) delta-endotoxin and the genetic material necessary for its production in corn"
"","","None","","","Bacillus thuringiensis subsp. kurstaki delta endotoxin protein as produced by the CryIIA gene and its controlling sequences in cotton"
"","","Registration Review","","","Bacillus thuringiensis subsp. kurstaki strain BMP123"
"","","Registration Review","","","Bacillus thuringiensis subsp. kurstaki strain EG2348"
"","","Registration Review","","","Bacillus thuringiensis subsp. kurstaki strain EG2371"
"","","None","","","Bacillus thuringiensis subsp. kurstaki strain EG2424"
"","","Registered","","","Bacillus thuringiensis subsp. kurstaki strain HD1 delta-endotoxin as produced in corn by a cry1A(b) gene and its controlling sequences"
"","","Registered","","","Bacillus thuringiensis subsp. kurstaki, delta-endotoxin as produced in corn by an HD-1 gene, and its controlling sequences and found on plasmid vector, pZO1502."
"","","None","","","Bacillus thuringiensis subsp. morrisoni, lepidopteran active"
"","","None","","","Bacillus thuringiensis subsp. san diego"
"","68038-71-1","None","","","Bacillus thuringiensis subsp. tenebrionis"
"","","None","","","Bacillus thuringiensis subsp. tolworthi Cry9C protein and the genetic   material necessary for its production (pRVA9909) in corn plants"
"","134-20-3","Registered","","","Methyl anthranilate"
"","1214-39-7","Registration Review","","","Benzyladenine"
"","8007-75-8","Registration Review","","","Bergamot oil"
"","124-76-5","None","","","Bicyclo{2.2.1}heptan-2-ol, 1,7,7-trimethyl-, exo-"
"","28434-01-7","None","","","Bioresmethrin"
"","10043-35-3","Registration Review","","","Boric acid"
"","","Registered","","","Brewer's yeast extract hydrolysate from Saccharomyces cerevisiae"
"","","Registered","","","Burkholderia (Pseudomonas) cepacia type Wisconsin isolate/strain M54"
"","","Registered","","","Burkholderia (pseudomonas) cepacia type Wisconsin isolate/strain J82"
"","","None","","","Burkholderia Cepacia AMMD (Use pc code 006468)"
"","","None","","","Burkholderia cepacia strain Ral-3"
"","","None","","","Burkholderia(Pseudomonas)cepacia strain AMMD"
"","56-12-2","Registration Review","","","Gamma-aminobutyric acid"
"","9003-13-8","None","","","Stabilene"
"","","Registered","","","Candida oleophila isolate I-182"
"","120962-03-0","Registration Review","","","Canola oil"
"","142-62-1","None","","","Caproic acid"
"","404-86-4","Registration Review","","","Capsaicin"
"","51543-98-7","None","","","Carbamic acid, ((4-methyl-1,3-phenylene)bis(iminocarbonyl-1H-benzimidazole-1,2-diyl))bis-, dimethyl ester"
"","","Registration Review","","","Bacillus thuringiensis subsp. israelensis strain EG2215"
"","","Registration Review","","","Bacillus thuringiensis subspecies kurstaki strain EG7841 Lepidopteran active toxin"
"","","Registration Review","","","Bacillus thuringiensis subsp. kurstaki strain EG7826"
"","","None","","","Bacillus thuringiensis subspecies tenebrionis delta endotoxin as produced in potato by Cry IIIA gene and its controlling sequences and found in the following constructs: PV-STMT02, PV-STMT04, PV-STMT10, PV-STMT11, (Continued on qualification)"
"","","Registered","","","Bacillus thuringiensis subspecies tenebrionis delta endotoxin as produced in potato by Cry IIIA gene and its controlling sequences and found in the following constructs:PV-STBT02, PV-STBT04, and PV-STMT01, IR-22,"
"","","None","","","Bacillus thuringiensis subspecies tenebrionis delta endotoxin as produced in potato by Cry IIIA gene and its controlling sequences and found in the following contructs: PVSTMT15, PVSTBT02 in combination with PV-STPY01, IR-22,"
"","","Registered","","","Bacillus thuringiensis var. kurstaki delta endotoxin protein as produced by the Cry1A(c) gene and its controlling sequences"
"","","Registered","","","Bacillus thuringiensis var. kurstaki strain M-200 protein toxin"
"","","None","","","Bacteriophage (from selected Pseudomonas species)"
"","","None","","","Barley straw"
"","","Registration Review","","","Beauveria bassiana ATCC 74040"
"","","Registration Review","","","Beauveria bassiana strain 447"
"","122-03-2","None","","","Benzaldehyde, 4-(1-methylethyl)-"
"","64628-44-0","None","","","Benzamide, 2-chloro-N-(((4-(trifluoromethoxy)phenyl)amino)carbonyl)-"
"","113036-88-7","None","","","Benzamide, N-(((4-(((((4-chlorophenyl)cyclopropylmethylene)amino)oxy)methyl)phenyl)amino)carbonyl)-2,6-difluoro-"
"","71422-67-8","None","","","Benzamide, N-{{{3,5-dichloro-4-{{3-chloro-5-(trifluoromethyl)-2-pyridinyl}oxy}phenyl}amino}carbonyl}-2,6-difluoro-"
"","53905-38-7","None","","","Benzene, 1-(8-methoxy-4,8-dimethyl(nonyl)-4-(1-methylethyl)-"
"","140-67-0","Registration Review","","","p-Allylanisole"
"","8001-79-4","Registration Review","","","Castor oil"
"","8000-27-9","Registration Review","","","Cedarwood oil"
"","9004-32-4","None","","","Cellulose, carboxymethyl ether, sodium salt"
"","33956-49-9","Registered","","","CheckMate Technical Pheromone"
"","1398-61-4","Registration Review","","","Chitin"
"","","None","","","Chitinolytic enzymes"
"","9012-76-4","Registration Review","","","Chitosan"
"","","None","","","Chlorite clay"
"","7758-99-8","Registration Review","","","Copper sulfate pentahydrate"
"","","None","","","Cry1F derived delta endotoxin of Bacillus thuringiensis(B.t.) encapsulated in killed Pseudomonas fluorescens"
"","","Registered","","","CryIC derived delta endotoxin of Bacillus thuringiensis encapsulated in killed Pseudomonas fluorescens"
"","","None","","","Cryptococcus infirmo-miniatus strain YY6"
"","26532-22-9","Registration Review","","","Cyclobutaneethanol, 1-methyl-2-(1-methylethenyl)-, (1R-cis)-"
"","12002-53-8","Registered","","","4(or 5)-Chloro-2-methylcyclohexanecarboxylic acid, 1,1-dimethylethyl ester"
"","42822-86-6","Registered","","","p-Menthane-3,8-diol"
"","52341-33-0","Registration Review","","","Cyclopropanecarboxylic acid, 3-(2,2-dichloroethenyl)-2,2-dimethyl_, (3-phenoxyphenyl)methyl ester, cis-(.+-.)"
"","121-29-9","None","","","Cyclopropanecarboxylic acid, 3-(3-methoxy-2-methyl-3-oxo-1-propenyl)-2,2-dimethyl-, 2-methyl-4-oxo-3-(2,4-pentadienyl)-2-cyclopenten-1-yl ester, (1R-(1.alpha.(S*(Z)),3-.beta.(E)))-"
"","3100-04-7","Registered","","","1-Methylcyclopropene"
"","","Reregistration","","","Cydia pomonella granulosis virus"
"","68359-37-5","Registration Review","","","Cyfluthrin"
"","525-79-1","Registration Review","","","Cytokinin (as kinetin)"
"","108175-15-1","Registered","","","Sorbitol octanoate"
"","67891-94-5","None","","","Dactylaria brochopaga"
"","147858-26-2","Registered","","","Decanoic acid, 3-[[6-deoxy-2-o-(6-deoxy-alpha-L-mannopyranosyl)-alpha-L-mannopyranosyl]oxy]-, 1-(carboxymethyl)octyl ester, mixt. with 1-(carboxymethyl)octyl 3-[(6-deoxy-alpha-L-mannopyranosyl)oxy]decanoate"
"","123-35-3","None","","","Decatriene"
"","","Registered","","","Delta endotoxin of Bacillus thuringiensis subsp. san diego encapsulated in killed Pseudomonas fluorescens"
"","","Registered","","","Delta endotoxin of Bacillus thuringiensis variety kurstaki encapsulated in killed Pseudomonas fluorescens"
"","333-41-5","Registration Review","","","Diazinon"
"","","Registered","","","Chondrostereum purpureum strain PFC 2139"
"","","Registered","","","Chondrostereum purpureum strain HQ1"
"","104-55-2","Registration Review","","","Cinnamaldehyde"
"","","None","","","Cinnamon"
"","35764-59-1","None","","","Cismethrin"
"","5392-40-5","Pending Registration","","","Citral"
"","77-92-9","Registration Review","","","Citric acid"
"","106-22-9","Registered","","","Citronellol"
"","947173-77-5","Registered","","","Clarified hydrophobic neem oil"
"","","None","","","Clavibacter xyli subsp. cynodontis isolate producing bacillus thuringiensis subsp. kurstaki delta-endotoxin protein"
"","","None","","","Clavibacter xyli subspecies cyondontis isolate MD69a producing Bacillus thuringiensis subspecies kurstaki delta-endotoxin protein"
"","","Reregistration","","","Colletotrichum gloeosporioides f. sp. aeschynomene"
"","","None","","","Colletotrichum gloeosporioides f. sp. malvae"
"","","None","","","Combustion Product Gas   (Not selected for InertFinder)"
"","","Registration Review","","","Coniothyrium minitans strain CON/M/91-08"
"","63-25-2","Registration Review","","","Carbaryl"
"","124-38-9","Registration Review","","","Carbon dioxide"
"","51609-52-0","Registration Review","","","Egg solids"
"","79-21-0","Registration Review","","","Ethaneperoxoic acid"
"","64-17-5","Reregistration","","","Ethanol"
"","74-85-1","Registration Review","","","Ethylene"
"","97-53-0","Registration Review","","","Eugenol"
"","4602-84-0","Registration Review","","","Farnesol"
"","13356-08-6","Registration Review","","","Fenbutatin-oxide"
"","72490-01-8","Registration Review","","","Fenoxycarb"
"","","None","","","Fermentation biomas of xanthomonas campestris pv. poae"
"","8016-13-5","Registered","","","Fish oil"
"","","None","","","Flavobacterium balustinum strain 299"
"","69409-94-5","Registration Review","","","Fluvalinate"
"","64-18-6","Registration Review","","","Formic acid"
"","8000-78-0","Registration Review","","","Garlic oil"
"","","None","","","Gas cartRidge  (as a device for burrowing animal control)"
"","106-24-1","Registration Review","","","Geraniol"
"","","Registered","","","German cockroach pheromone"
"","77-06-5","Registration Review","","","Gibberellic acid"
"","2227-17-0","None","","","Dienochlor"
"","68603-42-9","None","","","Diethanolamides of the fatty acids of coconut oil"
"","134-62-3","Registration Review","","","Diethyl toluamide"
"","35367-38-5","Registration Review","","","Diflubenzuron"
"","108189-58-8","Registered","","","Dihydroazadirachtin"
"","60704-91-8; 7758-11-4","Registered","","","Dipotassium phosphate"
"","2179-57-9","Registered","","","Diallyl disulfide"
"","27194-74-7","Registered","","","Propylene glycol monolaurate"
"","40642-40-8","Registered","","","Dodecen-1-ol, (Z)-"
"","","Registration Review","","","Dried fermentation solids & solubles of myrothecium verrucaria"
"","","Registration Review","","","Dried fermentation solids and solubles resulting from fermentation of Trichoderma harzianum isolate T-39, containing T-39 fungus propagules, as either conidia or mycelia"
"","629-80-1","None","","","Hexadecanal"
"","7722-84-1","Registration Review","","","Hydrogen peroxide"
"","41096-46-2","None","","","Hydroprene"
"","","None","","","IR-23, Bacillus thuringiensis subspecies tenebrionis delta endotoxin as produced in potato by an expression enhancer-CryIIIA fusion product and its controlling sequences and found in the following construct:PV-STBT05"
"","8022-15-9","Registration Review","","","Lavandin oil"
"","","None","","","Leaves of Eucalyptus"
"","138-86-3","Registration Review","","","Limonene"
"","78-70-6","Registration Review","","","Linalool"
"","","None","","","Listeria specific Bacteriophages"
"","7447-41-8","None","","","Lithium chloride"
"","13840-33-0","Registration Review","","","Lithium hypochlorite"
"","","Reregistration","","","Live Chlamydospores of Phytophthora palmivora MWV"
"","95046-40-5","Registered","","","Lysophosphatidylethanolamines, egg yolk"
"","113-48-4","Registration Review","","","MGK 264"
"","1309-48-4","None","","","Magnesium oxide (MgO)"
"","121-75-5","Registration Review","","","Malathion  (NO INERT USE)"
"","","None","","","Mamestra configurata nucleopolyhedrovirus (McNPV)"
"","68131-12-4","Registration Review","","","Meat meal"
"","","None","","","Melanoplus sanguinipes virus"
"","24307-26-4","Registration Review","","","Mepiquat chloride"
"","67892-13-1","Registered","","","Metarhizium anisopliae Strain ESF1"
"","","Registration Review","","","Metarhizium anisopliae strain F52 spores"
"","107-43-7","None","","","Methanaminium, 1-carboxy-N,N,N-trimethyl-, inner salt"
"","40596-69-8","Registration Review","","","Methoprene"
"","110-93-0","None","","","Methyl isohexenyl ketone"
"","112-12-9","Registration Review","","","Methyl nonyl ketone"
"","","Reregistration","","","Indian meal moth granulosis virus and larval parts on milled wheat bran carrier"
"","87-51-4","None","","","Indole-3-acetic acid"
"","133-32-4","Registration Review","","","Indole-3-butyric acid"
"","67-63-0","Registration Review","","","Isopropyl alcohol"
"","61789-91-1","Registration Review","","","Jojoba oil"
"","1332-58-7","Registration Review","","","Kaolin clay"
"","42588-37-4","None","","","Kinoprene"
"","56-86-0","Registration Review","","","L-Glutamic acid"
"","79-33-4","Registration Review","","","L-Lactic acid"
"","","Registration Review","","","Lagenidium giganteum, mycelium or oospores"
"","112-53-8","Reregistration","","","Lauryl alcohol"
"","125-67-7","Registration Review","","","Gibberellic acid, monopotassium salt"
"","8030-53-3","None","","","Gibberellin A4 mixt. with Gibberellin A7"
"","","Registration Review","","","Gliocladium catenulatum strain J1446"
"","","Registration Review","","","Gliocladium virens GL-21"
"","66071-96-3","Registered","","","Glutens, corn"
"","38641-94-0","Registered","","","Glyphosate-isopropylammonium"
"","","None","","","HD-1 Protein as encoded by Bacillus thuringiensis subsp. kurstaki gene and produced in corn"
"","151438-54-9","Registration Review","","","Harpin protein"
"","","None","","","Harrisina brillians granulosis virus"
"","","None","","","Heliothis Armigera NPV A44EB"
"","112-05-0","Registration Review","","","Nonanoic acid"
"","","Registration Review","","","Nosema locustae"
"","68332-79-6","Registered","","","Octanoic acid, ester with 1,2-propanediol"
"","","None","","","Oedaleus senegalensis virus"
"","8007-44-1","None","","","Oil of Pennyroyal"
"","8007-70-3","Reregistration","","","Oil of anise"
"","8000-29-1","Registration Review","","","Oil of citronella"
"","8000-34-8","None","","","Oil of cloves"
"","8000-48-4","Registration Review","","","Oil of eucalyptus"
"","8000-46-2","None","","","Oil of geranium"
"","8000-28-0","None","","","Oil of lavender"
"","8007-02-1","Registration Review","","","Oil of lemongrass"
"","57-06-7","Registration Review","","","Allyl isothiocyanate"
"","8008-57-9","Reregistration","","","Oil of orange"
"","8000-25-7","None","","","Oil of rosemary"
"","8008-79-5","None","","","Oil of spearmint"
"","119-36-8","Reregistration","","","Methyl salicylate"
"","8006-82-4","Registered","","","Oils, black pepper"
"","8014-29-7","None","","","Oils, rue"
"","68647-73-4","Pending Registration","","","Oils, tea-tree"
"","","Registered","","","Oriental mustard seed (Brassica juncea)"
"","","Registered","","","Isaria fumosorosea (Paecilomyces fumosoroseus)"
"","","Registered","","","Pantoea agglomerans strain C9-1"
"","","None","","","Penicillium oxalicum"
"","61228-92-0","Reregistration","","","Periplanone B"
"","52645-53-1","Registration Review","","","Permethrin"
"","","None","","","Petromyzonol sulfate"
"","8006-90-4","Reregistration","","","Mint oil (use PC 500740)"
"","13492-26-7","Registered","","","Mono- and di- potassium salts of phosphorous acid"
"","","Registered","","","Muscodor albus strain QST 20799"
"","","None","","","Mycoleptodiscus terrestris mycelia"
"","112-72-1","Registered","","","Myristyl alcohol"
"","571-58-4","Registration Review","","","Naphthalene, 1,4-dimethyl-"
"","24157-81-1","Registered","","","Naphthalene,2,6-bis(1-methylethyl)-"
"","8002-65-1","Registered","","","Neem oil  (See Kerry Leifer. No Inert Use without his clearance.)"
"","7212-44-4","Registration Review","","","Nerolidol"
"","7727-37-9","Registration Review","","","Nitrogen, Liquid"
"","","None","","","Phospholipid"
"","10045-86-0","Registered","","","Phosphoric acid, iron(3+) salt (1:1)"
"","","Reregistration","","","Polyhedral inclusion bodies of Douglas fir tussock moth nucleopolyhedrosis virus"
"","","Reregistration","","","Polyhedral inclusion bodies of gypsy moth nucleopolyhedrosis virus"
"","","None","","","Polyhedral occlusion bodies (OBs) of the nuclear polyhedrosis virus of Autographa californica (alfalfa looper)"
"","","Reregistration","","","Polyhedral occlusion bodies (OBs) of the nuclear polyhedrosis virus of Helicoverpa zea (corn earworm)"
"","","Reregistration","","","Polyhedral occlusion bodies of the beet armyworm nuclear polyhedrosis virus"
"","15165-79-4","Registration Review","","","Potassium 1-naphthaleneacetate"
"","298-14-6","None","","","Potassium bicarbonate"
"","67701-09-1","Registration Review","","","Potassium laurate"
"","7778-77-0","Registered","","","Potassium phosphate, monobasic"
"","","None","","","Potato leaf roll virus (PLRV) coat protein as produced in potato by PLRV modCP gene and its controlling sequences and found in  the following constructs: PV-STMT02, PV-STMT04, PV-STMT10, PV-STMT11, PV-STMT12, PV-STMT13 and PV-STMT14"
"","","Registration Review","","","Potato leafroll virus (PLRV) replicase protein as produced in potato    plants"
"","709-98-8","Reregistration","","","Propanil"
"","5454-22-8","None","","","Propanoic acid, 2-methyl-, decyl ester"
"","114-26-1","Registration Review","","","Propoxur"
"","68602-93-7","Registered","","","Pseudomonas Syringae 742RS"
"","","Registration Review","","","Pseudomonas aureofaciens strain Tx-1"
"","","None","","","Pseudomonas cepacia type Wisconsin"
"","","Registered","","","Pseudomonas chlororaphis strain 63-28"
"","","Registration Review","","","Pseudomonas fluorescens"
"","","None","","","Pseudomonas fluorescens (natural occurring strain)"
"","","Registered","","","Pseudomonas fluorescens 1629RS"
"","","Registered","","","Pseudomonas fluorescens A506    (previously coded 006418)"
"","","None","","","Pseudomonas fluorescens EG-1053    (previously coded 006418)"
"","","None","","","Pseudomonas fluorescens Strain NCIB 12089"
"","","None","","","Pseudomonas fluorescens strain PRA-25"
"","68583-32-4","Registration Review","","","Pseudomonas syringae, strain ESC 10"
"","","Registered","","","Pseudomonas syringae, strain ESC-11"
"","","Registered","","","Pseudozyma flocculosa"
"","","None","","","Puccinia canaliculate (Schweinitz) Lagerheim (ATCC #40199)"
"","","Registered","","","Puccinia thlaspeos 'woad strain' on rust-infected pieces of dyer's woad"
"","8003-34-7","Registration Review","","","Pyrethrins"
"","10294-56-1","Registered","","","Phosphorous acid"
"","70892-20-5","None","","","Phytelene of marigold"
"","51-03-6","Registration Review","","","Piperonyl butoxide"
"","29232-93-7","Registration Review","","","Pirimiphos-methyl"
"","","None","","","Plant essences composition (Litsea-Pinus-Cinnamomum-Cymbopogon)"
"","","Registration Review","","","Plant extract* (*Derived from quercus falcata, opuntia lindheimer, rhus aromatica, and rhizophoria mangle tissues)"
"","","None","","","Plant pesticide bacillus thuringiensis Cry1A(b) delta-endotoxin and the  genetic material necessary for its production (plasmid Vector pCIB4431) in corn"
"","67233-85-6","Registration Review","","","Phenol, 2-methoxy-5-nitro-, sodium salt"
"","26002-80-2","Registration Review","","","Phenothrin"
"","144-55-8","Registration Review","","","Sodium bicarbonate"
"","7681-38-1","Registration Review","","","Sodium hydrogen sulfate"
"","7647-14-5","Registration Review","","","Sodium chloride"
"","15708-41-5","Registered","","","Sodium ferric ethylenediaminetetraacetate"
"","151-21-3","Registration Review","","","Sodium lauryl sulfate"
"","6834-92-0","Pending Registration","","","Sodium metasilicate"
"","824-39-5","Registration Review","","","Sodium o-nitrophenolate"
"","824-78-2","Registration Review","","","Sodium p-nitrophenolate"
"","15630-89-4","Registered","","","Sodium percarbonate"
"","137-40-6","None","","","Sodium propionate"
"","","None","","","Sodium silver thiosulfate"
"","7757-82-6","None","","","Sodium sulfate"
"","590-00-1","None","","","Sorbic acid, potassium salt"
"","8001-22-7","Registration Review","","","Soybean oil"
"","131929-60-7","Registration Review","","","Spinosad"
"","","None","","","Spores of Bacillus firmus strain-1582 at least 3 times 10 to the ninth power cells per gram"
"","","Registered","","","Spores of bacillus popilliae"
"","","None","","","Streptomyces galbus strain QST 6047"
"","","Registration Review","","","Streptomyces strain K61"
"","","Registration Review","","","Streptomyces lydicus WYEC 108"
"","42922-74-7","Registered","","","Sucrose octanoate"
"","4151-50-2","Registration Review","","","Sulfluramid"
"","7704-34-9","Registration Review","","","Sulfur"
"","","Registration Review","","","Bacillus subtilis strain QST 713"
"","","Registered","","","Red pepper"
"","10453-86-8","Registration Review","","","Resmethrin"
"","","Registered","","","Reynoutria sachalinensis"
"","","None","","","Rhizobia leguminosarum biovar viceae containing the cryIII gene from bacillus thuringiengis subsp. tenebrionis"
"","","None","","","Rhodotorula glutinis"
"","83-79-4","Reregistration","","","Rotenone"
"","28434-00-6","Registration Review","","","S-Bioallethrin"
"","65733-16-6","Registration Review","","","S-Methoprene"
"","69-72-7","Pending Registration","","","Salicylic acid"
"","","None","","","Sclerotinia sclerotiorum"
"","","Registration Review","","","Sesame plant, ground"
"","7761-88-8","Registration Review","","","Silver nitrate"
"","75-69-4","None","","","Trichlorofluoromethane (No longer approved for inert use)"
"","","None","","","Trichoderma hamatum"
"","","Registered","","","Trichoderma hamatum TH382"
