"Chemical Name","Male Rat Chronic Bioassay Level of Evidence","Female Rat Chronic Bioassay Level of Evidence","Male Mouse Chronic Bioassay Level of Evidence","Female Mouse Chronic Bioassay Level of Evidence","Male Hamster Chronic Bioassay Level of Evidence","Female Hamster Chronic Bioassay Level of Evidence","Male Fish Chronic Bioassay Level of Evidence","Female Fish Chronic Bioassay Level of Evidence","Multiple Level of Evidence Conclusion? T/F","Bacterial Mutagenicity Conclusion","Male Rat Micronucleus Conclusion","Female Rat Micronucleus Conclusion","Male Mouse Micronucleus Conclusion","Female Mouse Micronucleus Conclusion","In Vitro Micronucleus Conclusion","Male Rat Comet Assay Conclusion","Female Rat Comet Assay Conclusion","Male Mouse Comet Assay Conclusion","Female Mouse Comet Assay Conclusion","NTP Publication Number",DTXSID,CASRN
"Bromodichloroacetic Acid","Clear Evidence","Clear Evidence","Clear Evidence","Clear Evidence",,,,,F,"Weakly Positive; Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=71133-14-7)",,,Negative,Negative,,,,,,TR-583,DTXSID4024644," 71133-14-7 ( https://cebs.niehs.nih.gov/cebs/test_article/71133-14-7)"
Bromodichloromethane,"Clear Evidence","Clear Evidence","Clear Evidence","Clear Evidence",,,,,T,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=75-27-4)",,,"Negative; Equivocal","Negative; Equivocal",,,,,,"TR-321 | TR-532",DTXSID1020198," 75-27-4 ( https://cebs.niehs.nih.gov/cebs/test_article/75-27-4)"
"C.I. Basic Red 9 Monohydrochloride","Clear Evidence","Clear Evidence","Clear Evidence","Clear Evidence",,,,,F,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=569-61-9)",Negative,,,,,,,,,TR-285,DTXSID1021247," 569-61-9 ( https://cebs.niehs.nih.gov/cebs/test_article/569-61-9)"
"Chlorinated paraffins: C12, 60% chlorine","Clear Evidence","Clear Evidence","Clear Evidence","Clear Evidence",,,,,F,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=108171-26-2)",,,,,,,,,,TR-308,DTXSID2024824," 108171-26-2 ( https://cebs.niehs.nih.gov/cebs/test_article/108171-26-2)"
Chloroprene,"Clear Evidence","Clear Evidence","Clear Evidence","Clear Evidence",,,,,F,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=126-99-8)",,,Negative,Negative,,,,,,TR-467,DTXSID5020316," 126-99-8 ( https://cebs.niehs.nih.gov/cebs/test_article/126-99-8)"
Cobalt,"Clear Evidence","Clear Evidence","Clear Evidence","Clear Evidence",,,,,F,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=7440-48-4)",,,Negative,Negative,,,,,,TR-581,DTXSID1031040," 7440-48-4 ( https://cebs.niehs.nih.gov/cebs/test_article/7440-48-4)"
"Dimethylvinyl chloride (DMVC)","Clear Evidence","Clear Evidence","Clear Evidence","Clear Evidence",,,,,F,"Positive; Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=513-37-1)",Positive,,Positive,,,,,,,TR-316,DTXSID5020520," 513-37-1 ( https://cebs.niehs.nih.gov/cebs/test_article/513-37-1)"
"Ethylene thiourea (ETU)","Clear Evidence","Clear Evidence","Clear Evidence","Clear Evidence",,,,,F,"Weakly Positive; Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=96-45-7)",,,,,,,,,,TR-388,DTXSID5020601," 96-45-7 ( https://cebs.niehs.nih.gov/cebs/test_article/96-45-7)"
Furan,"Clear Evidence","Clear Evidence","Clear Evidence","Clear Evidence",,,,,F,"Weakly Positive; Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=110-00-9)",,,,Equivocal,,,,,Positive,TR-402,DTXSID6020646," 110-00-9 ( https://cebs.niehs.nih.gov/cebs/test_article/110-00-9)"
Glycidamide,"Clear Evidence","Clear Evidence","Clear Evidence","Clear Evidence",,,,,F,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=5694-00-8)",,,,,,,,,,TR-588,DTXSID2031374," 5694-00-8 ( https://cebs.niehs.nih.gov/cebs/test_article/5694-00-8)"
Glycidol,"Clear Evidence","Clear Evidence","Clear Evidence","Clear Evidence",,,,,F,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=556-52-5)",,,"Positive; Negative","Positive; Negative",,,,,,TR-374,DTXSID4020666," 556-52-5 ( https://cebs.niehs.nih.gov/cebs/test_article/556-52-5)"
"Indium phosphide","Clear Evidence","Clear Evidence","Clear Evidence","Clear Evidence",,,,,F," ()",,,Negative,Negative,,,,,,TR-499,DTXSID3031444," 22398-80-7 ( https://cebs.niehs.nih.gov/cebs/test_article/22398-80-7)"
Methyleugenol,"Clear Evidence","Clear Evidence","Clear Evidence","Clear Evidence",,,,,F,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=93-15-2)",,,Negative,Negative,,,,,,TR-491,DTXSID5025607," 93-15-2 ( https://cebs.niehs.nih.gov/cebs/test_article/93-15-2)"
"N,N-Dimethyl-p-toluidine","Clear Evidence","Clear Evidence","Clear Evidence","Clear Evidence",,,,,F,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=99-97-8)",,,Negative,Negative,,Positive,,Negative,,TR-579,DTXSID0021832," 99-97-8 ( https://cebs.niehs.nih.gov/cebs/test_article/99-97-8)"
"Pentabromodiphenyl Ether Mixture [DE-71 (Technical Grade)]","Clear Evidence","Clear Evidence","Clear Evidence","Clear Evidence",,,,,F,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=32534-81-9)",,,Negative,Negative,,,,,,TR-589,DTXSID2024246," 32534-81-9 ( https://cebs.niehs.nih.gov/cebs/test_article/32534-81-9)"
"Polybrominated biphenyl mixture (Firemaster FF-1)","Clear Evidence","Clear Evidence","Clear Evidence","Clear Evidence",,,,,T," ()",,,Negative,,,,,,,"TR-244 | TR-398",DTXSID0021173," 67774-32-7 ( https://cebs.niehs.nih.gov/cebs/test_article/67774-32-7)"
Riddelliine,"Clear Evidence","Clear Evidence","Clear Evidence","Clear Evidence",,,,,F,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=23246-96-0)",,,Negative,Negative,,,,,,TR-508,DTXSID4026006," 23246-96-0 ( https://cebs.niehs.nih.gov/cebs/test_article/23246-96-0)"
"Sodium dichromate dihydrate (VI)","Clear Evidence","Clear Evidence","Clear Evidence","Clear Evidence",,,,,F,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=7789-12-0)",,,"Positive; Negative; Equivocal",Negative,,,,,,TR-546,DTXSID6032061," 7789-12-0 ( https://cebs.niehs.nih.gov/cebs/test_article/7789-12-0)"
Tetrafluoroethylene,"Clear Evidence","Clear Evidence","Clear Evidence","Clear Evidence",,,,,F," ()",,,Negative,Negative,,,,,,TR-450,DTXSID6021325," 116-14-3 ( https://cebs.niehs.nih.gov/cebs/test_article/116-14-3)"
Tetranitromethane,"Clear Evidence","Clear Evidence","Clear Evidence","Clear Evidence",,,,,F,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=509-14-8)",,,,,,,,,,TR-386,DTXSID5021334," 509-14-8 ( https://cebs.niehs.nih.gov/cebs/test_article/509-14-8)"
o-Nitrotoluene,"Clear Evidence","Clear Evidence","Clear Evidence","Clear Evidence",,,,,F,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=88-72-2)",Negative,,"Negative; Equivocal",Negative,,,,,,TR-504,DTXSID4025791," 88-72-2 ( https://cebs.niehs.nih.gov/cebs/test_article/88-72-2)"
"Chlorendic acid","Clear Evidence","Clear Evidence","Clear Evidence","No Evidence",,,,,F,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=115-28-6)",,,,,,,,,,TR-304,DTXSID2020268," 115-28-6 ( https://cebs.niehs.nih.gov/cebs/test_article/115-28-6)"
o-Nitroanisole,"Clear Evidence","Clear Evidence","Clear Evidence","Some Evidence",,,,,F,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=91-23-6)",,,,,,,,,,TR-416,DTXSID3020962," 91-23-6 ( https://cebs.niehs.nih.gov/cebs/test_article/91-23-6)"
"Tris(2-Chloroethyl) Phosphate","Clear Evidence","Clear Evidence","Equivocal Evidence","Equivocal Evidence",,,,,F,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=115-96-8)",,,,,,,,,,TR-391,DTXSID5021411," 115-96-8 ( https://cebs.niehs.nih.gov/cebs/test_article/115-96-8)"
"C.I. Disperse Blue 1","Clear Evidence","Clear Evidence","Equivocal Evidence","No Evidence",,,,,F,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=2475-45-8)",,,Negative,,,,,,,TR-299,DTXSID7020188," 2475-45-8 ( https://cebs.niehs.nih.gov/cebs/test_article/2475-45-8)"
"Nalidixic acid","Clear Evidence","Clear Evidence","Equivocal Evidence","No Evidence",,,,,F,"Weakly Positive; Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=389-08-2)",,,,,,,,,,TR-368,DTXSID3020912," 389-08-2 ( https://cebs.niehs.nih.gov/cebs/test_article/389-08-2)"
"Aloe vera whole leaf extract (native)","Clear Evidence","Clear Evidence","No Evidence","No Evidence",,,,,F,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=ALOEVLEAFEXT)",,,,,,,,,,TR-577,DTXSID7030694," ALOEVLEAFEXT ( https://cebs.niehs.nih.gov/cebs/test_article/ALOEVLEAFEXT)"
"Malonaldehyde, sodium salt","Clear Evidence","Clear Evidence","No Evidence","No Evidence",,,,,F,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=24382-04-5)",,,,,,,,,,TR-331,DTXSID4020793," 24382-04-5 ( https://cebs.niehs.nih.gov/cebs/test_article/24382-04-5)"
"Methyl carbamate","Clear Evidence","Clear Evidence","No Evidence","No Evidence",,,,,F,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=598-55-0)",,,Negative,,,,,,,TR-328,DTXSID8020834," 598-55-0 ( https://cebs.niehs.nih.gov/cebs/test_article/598-55-0)"
"Nickel subsulfide","Clear Evidence","Clear Evidence","No Evidence","No Evidence",,,,,F,"Equivocal (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=12035-72-2)",,,Negative,Negative,,,,,,TR-453,DTXSID2025711," 12035-72-2 ( https://cebs.niehs.nih.gov/cebs/test_article/12035-72-2)"
Naphthalene,"Clear Evidence","Clear Evidence","No Evidence","Some Evidence",,,,,T,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=91-20-3)",,,,,,,,,,"TR-410 | TR-500",DTXSID8020913," 91-20-3 ( https://cebs.niehs.nih.gov/cebs/test_article/91-20-3)"
"Di(2-ethylhexyl) Phthalate","Clear Evidence","Clear Evidence",Positive,Positive,,,,,T,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=117-81-7)",,,"Negative; Equivocal","Positive; Negative; Equivocal",,Negative,,,,"TR-217 | TR-601",DTXSID5020607," 117-81-7 ( https://cebs.niehs.nih.gov/cebs/test_article/117-81-7)"
"Goldenseal root powder","Clear Evidence","Clear Evidence","Some Evidence","No Evidence",,,,,F,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=GOLDENSEALRT)",,,Negative,Negative,,,,,,TR-562,DTXSID6031384," GOLDENSEALRT ( https://cebs.niehs.nih.gov/cebs/test_article/GOLDENSEALRT)"
"Isobutyl nitrite","Clear Evidence","Clear Evidence","Some Evidence","Some Evidence",,,,,F,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=542-56-3)",,,Positive,Positive,,,,,,TR-448,DTXSID3020750," 542-56-3 ( https://cebs.niehs.nih.gov/cebs/test_article/542-56-3)"
"3,3'-Dimethoxybenzidine dihydrochloride","Clear Evidence","Clear Evidence",,,,,,,F," ()",,,,,,,,,,TR-372,DTXSID1020485," 20325-40-0 ( https://cebs.niehs.nih.gov/cebs/test_article/20325-40-0)"
"3,3'-Dimethylbenzidine dihydrochloride","Clear Evidence","Clear Evidence",,,,,,,F,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=612-82-8)",,,,,,,,,,TR-390,DTXSID6020511," 612-82-8 ( https://cebs.niehs.nih.gov/cebs/test_article/612-82-8)"
"C.I. Acid Red 114","Clear Evidence","Clear Evidence",,,,,,,F,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=6459-94-5)",,,,,,,,,,TR-405,DTXSID8021224," 6459-94-5 ( https://cebs.niehs.nih.gov/cebs/test_article/6459-94-5)"
"C.I. Direct Blue 15","Clear Evidence","Clear Evidence",,,,,,,F,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=2429-74-5)",,,,,,,,,,TR-397,DTXSID7020186," 2429-74-5 ( https://cebs.niehs.nih.gov/cebs/test_article/2429-74-5)"
Mirex,"Clear Evidence","Clear Evidence",,,,,,,F,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=2385-85-5)",,,,,,,,,,TR-313,DTXSID7020895," 2385-85-5 ( https://cebs.niehs.nih.gov/cebs/test_article/2385-85-5)"
"Ochratoxin A","Clear Evidence","Clear Evidence",,,,,,,F,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=303-47-9)",,,,,,,,,,TR-358,DTXSID7021073," 303-47-9 ( https://cebs.niehs.nih.gov/cebs/test_article/303-47-9)"
beta-Myrcene,"Clear Evidence","Equivocal Evidence","Clear Evidence","Equivocal Evidence",,,,,F,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=123-35-3)",,,Negative,Negative,,,,,,TR-557,DTXSID6025692," 123-35-3 ( https://cebs.niehs.nih.gov/cebs/test_article/123-35-3)"
"Cell Phone Radiation (CDMA)","Clear Evidence","Equivocal Evidence","Equivocal Evidence","Equivocal Evidence",,,,,T," ()",Negative,Negative,Negative,Negative,,Positive,Negative,Positive,Positive,"TR-595 | TR-596",," CELLPRADCDMA ( https://cebs.niehs.nih.gov/cebs/test_article/CELLPRADCDMA)"
"Cell Phone Radiation: GSM","Clear Evidence","Equivocal Evidence","Equivocal Evidence","Equivocal Evidence",,,,,T," ()",Negative,Negative,Negative,Negative,,Negative,Negative,Positive,Negative,"TR-595 | TR-596",," CELLPRADGSM ( https://cebs.niehs.nih.gov/cebs/test_article/CELLPRADGSM)"
"1,2-Epoxybutane","Clear Evidence","Equivocal Evidence","No Evidence","No Evidence",,,,,F,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=106-88-7)",Negative,,,,,,,,,TR-329,DTXSID6020569," 106-88-7 ( https://cebs.niehs.nih.gov/cebs/test_article/106-88-7)"
"Dimethyl hydrogen phosphite","Clear Evidence","Equivocal Evidence","No Evidence","No Evidence",,,,,F,"Weakly Positive; Equivocal (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=868-85-9)",,,Positive,,,,,,,TR-287,DTXSID20242066," 868-85-9 ( https://cebs.niehs.nih.gov/cebs/test_article/868-85-9)"
"p-Chloroaniline hydrochloride","Clear Evidence","Equivocal Evidence","Some Evidence","No Evidence",,,,,F," ()",,,Positive,,,,,,,TR-351,DTXSID4020296," 20265-96-7 ( https://cebs.niehs.nih.gov/cebs/test_article/20265-96-7)"
"1,4-Dichlorobenzene (p-dichlorobenzene)","Clear Evidence","No Evidence","Clear Evidence","Clear Evidence",,,,,F,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=106-46-7)",,,Negative,Negative,,,,,,TR-319,DTXSID1020431," 106-46-7 ( https://cebs.niehs.nih.gov/cebs/test_article/106-46-7)"
"Fumonisin B1","Clear Evidence","No Evidence","No Evidence","Clear Evidence",,,,,F," ()",,,,,,,,,,TR-496,DTXSID6020644," 116355-83-0 ( https://cebs.niehs.nih.gov/cebs/test_article/116355-83-0)"
Decalin,"Clear Evidence","No Evidence","No Evidence","Equivocal Evidence",,,,,F,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=91-17-8)",,,"Weakly Positive",Negative,,,,,,TR-513,DTXSID1024912," 91-17-8 ( https://cebs.niehs.nih.gov/cebs/test_article/91-17-8)"
D-Limonene,"Clear Evidence","No Evidence","No Evidence","No Evidence",,,,,F,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=5989-27-5)",,,,,,,,,,TR-347,DTXSID1020778," 5989-27-5 ( https://cebs.niehs.nih.gov/cebs/test_article/5989-27-5)"
Monuron,"Clear Evidence","No Evidence","No Evidence","No Evidence",,,,,F,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=150-68-5)",,,Positive,,,,,,,TR-266,DTXSID0020311," 150-68-5 ( https://cebs.niehs.nih.gov/cebs/test_article/150-68-5)"
Hexachloroethane,"Clear Evidence","No Evidence",Positive,Positive,,,,,T,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=67-72-1)",,,,,,,,,,"TR-068 | TR-361",DTXSID7020689," 67-72-1 ( https://cebs.niehs.nih.gov/cebs/test_article/67-72-1)"
8-Methoxypsoralen,"Clear Evidence","No Evidence",,,,,,,F,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=298-81-7)",,,Equivocal,,,,,,,TR-359,DTXSID8020830," 298-81-7 ( https://cebs.niehs.nih.gov/cebs/test_article/298-81-7)"
Cumene,"Clear Evidence","Some Evidence","Clear Evidence","Clear Evidence",,,,,F,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=98-82-8)","Positive; Negative",,Negative,Negative,,Positive,,Negative,Positive,TR-542,DTXSID1021827," 98-82-8 ( https://cebs.niehs.nih.gov/cebs/test_article/98-82-8)"
Dibromoacetonitrile,"Clear Evidence","Some Evidence","Clear Evidence","Clear Evidence",,,,,F,"Weakly Positive; Positive; Equivocal (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=3252-43-5)",,,Negative,Negative,,,,,,TR-544,DTXSID3024940," 3252-43-5 ( https://cebs.niehs.nih.gov/cebs/test_article/3252-43-5)"
Phenolphthalein,"Clear Evidence","Some Evidence","Clear Evidence","Clear Evidence",,,,,F,"Negative; Equivocal (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=77-09-8)",,,Positive,Positive,,,,,,TR-465,DTXSID0021125," 77-09-8 ( https://cebs.niehs.nih.gov/cebs/test_article/77-09-8)"
Tetrachloroethylene,"Clear Evidence","Some Evidence","Clear Evidence","Clear Evidence",,,,,T,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=127-18-4)",,,Negative,,,,,,,"TR-013 | TR-311",DTXSID2021319," 127-18-4 ( https://cebs.niehs.nih.gov/cebs/test_article/127-18-4)"
"Vinylidene Chloride","Clear Evidence","Some Evidence","Clear Evidence","Clear Evidence",,,,,T,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=75-35-4)",,,Negative,Negative,,,,,,"TR-228 | TR-582",DTXSID8021438," 75-35-4 ( https://cebs.niehs.nih.gov/cebs/test_article/75-35-4)"
Ethylbenzene,"Clear Evidence","Some Evidence","Some Evidence","Some Evidence",,,,,F,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=100-41-4)",,,Negative,Negative,,,,,,TR-466,DTXSID3020596," 100-41-4 ( https://cebs.niehs.nih.gov/cebs/test_article/100-41-4)"
"1,3-Dichloropropene (Telone II)","Clear Evidence","Some Evidence",,"Clear Evidence",,,,,F,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=542-75-6)",,,"Positive; Negative",,,,,,,TR-269,DTXSID1022057," 542-75-6 ( https://cebs.niehs.nih.gov/cebs/test_article/542-75-6)"
Isoprene,"Clear Evidence","Some Evidence",,,,,,,F,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=78-79-5)",,,Positive,Positive,,,,,,TR-486,DTXSID2020761," 78-79-5 ( https://cebs.niehs.nih.gov/cebs/test_article/78-79-5)"
"Perfluorooctanoic acid (PFOA)","Clear Evidence","Some Evidence",,,,,,,F,"Equivocal (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=335-67-1)",Positive,Negative,,,,Negative,,,,TR-598,DTXSID8031865," 335-67-1 ( https://cebs.niehs.nih.gov/cebs/test_article/335-67-1)"
Nitrofurazone,"Equivocal Evidence","Clear Evidence","No Evidence","Clear Evidence",,,,,F,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=59-87-0)",,,Negative,,,,,,,TR-337,DTXSID5020944," 59-87-0 ( https://cebs.niehs.nih.gov/cebs/test_article/59-87-0)"
"Tetrabromobisphenol A","Equivocal Evidence","Clear Evidence","Some Evidence","No Evidence",,,,,F,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=79-94-7)",,,Negative,Negative,,,,,,TR-587,DTXSID1026081," 79-94-7 ( https://cebs.niehs.nih.gov/cebs/test_article/79-94-7)"
Oxymetholone,"Equivocal Evidence","Clear Evidence",,,,,,,F,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=434-07-1)",,,Negative,Negative,,,,,,TR-485,DTXSID5023794," 434-07-1 ( https://cebs.niehs.nih.gov/cebs/test_article/434-07-1)"
Androstenedione,"Equivocal Evidence","Equivocal Evidence","Clear Evidence","Clear Evidence",,,,,F,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=63-05-8)",Negative,,Negative,Equivocal,,,,,,TR-560,DTXSID8024523," 63-05-8 ( https://cebs.niehs.nih.gov/cebs/test_article/63-05-8)"
"Metal Working Fluids: TRIM® VX","Equivocal Evidence","Equivocal Evidence","Clear Evidence","Clear Evidence",,,,,F,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=TRIMVX)",Negative,Negative,Negative,Negative,,,,,,TR-591,DTXSID8031578," TRIMVX ( https://cebs.niehs.nih.gov/cebs/test_article/TRIMVX)"
"IPD (3,3'-iminobis-1-propanol dimethanesulfonate (ester) hydrochloride)","Equivocal Evidence","Equivocal Evidence","Equivocal Evidence","Equivocal Evidence",,,,,F," ()",,,,,,,,,,TR-018,DTXSID0020735," 3458-22-8 ( https://cebs.niehs.nih.gov/cebs/test_article/3458-22-8)"
"Bisphenol A","Equivocal Evidence","Equivocal Evidence","Equivocal Evidence",Negative,,,,,F,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=80-05-7)",Negative,,,,,Negative,,,,TR-215,DTXSID7020182," 80-05-7 ( https://cebs.niehs.nih.gov/cebs/test_article/80-05-7)"
"1,2,3-Benzotriazole","Equivocal Evidence","Equivocal Evidence",Negative,"Equivocal Evidence",,,,,F,"Weakly Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=95-14-7)",,,,,,,,,,TR-088,DTXSID6020147," 95-14-7 ( https://cebs.niehs.nih.gov/cebs/test_article/95-14-7)"
Parathion,"Equivocal Evidence","Equivocal Evidence",Negative,Negative,,,,,F,"Weakly Positive; Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=56-38-2)",,,,,,,,,,TR-070,DTXSID7021100," 56-38-2 ( https://cebs.niehs.nih.gov/cebs/test_article/56-38-2)"
