"Publication No."	"Publication Title"	"CASRN"	"Test Article Name"	"Test Article No."	"Testing Status URL"	"Study No."	"Species"	"Sex"	"Route"	"Exposure"	"Organ"	"Level of Evidence"	"Tumor Type/Incidence"	"Finding Type"	"Lab"	"Peer Review Date"	"Description"
"106-93-4"	"0,10,40 PPM/50 PER GROUP"	"Lung"	"TR-210"	"ALVEOLAR/BRONCHIOLAR ADENOMA 3/49 7/49 13/50; ALVEOLAR/BRONCHIOLAR CARCINOMA 1/49 5/49 37/50"	"Positive"	"Female"	"Inhalation"	"Mice"	"Hazleton, Vienna"	"06/27/1980"	"Carcinogenesis Bioassay of 1,2-Dibromoethane (CASRN 106-93-4) in F344 Rats and B6C3F1 Mice (Inhalation Study)"	"Neoplastic Lesions"	"C00522B"	"1,2-Dibromoethane"	"10513-F"	"http://ntp.niehs.nih.gov/go/TS-10513-F"	"Scavenger for lead in gasoline; soil and grain fumigant; intermediate for dyes and drugs.  Associated with tobacco: reported either as a natural component of tobacco, pyrolysis product (in tobacco smoke), or additive for one or more types of tobacco products."
"106-93-4"	"0,10,40 PPM/50 PER GROUP"	"Lung"	"TR-210"	"ALVEOLAR/BRONCHIOLAR ADENOMA 0/41 0/48 11/46; ALVEOLAR/BRONCHIOLAR CARCINOMA 0/41 3/48 19/46"	"Positive"	"Male"	"Inhalation"	"Mice"	"Hazleton, Vienna"	"06/27/1980"	"Carcinogenesis Bioassay of 1,2-Dibromoethane (CASRN 106-93-4) in F344 Rats and B6C3F1 Mice (Inhalation Study)"	"Neoplastic Lesions"	"C00522B"	"1,2-Dibromoethane"	"10513-F"	"http://ntp.niehs.nih.gov/go/TS-10513-F"	"Scavenger for lead in gasoline; soil and grain fumigant; intermediate for dyes and drugs.  Associated with tobacco: reported either as a natural component of tobacco, pyrolysis product (in tobacco smoke), or additive for one or more types of tobacco products."
"106-93-4"	"0,10,40 PPM/50 PER GROUP"	"Lung"	"TR-210"	"ALVEOLAR/BRONCHIOLAR ADENOMA 0/50 0/48 1/47 OR ALVEOLAR/BRONCHIOLAR CARCINOMA 0/50 0/48 4/47 COMBINED 0/50 0/48 5/47"	"Positive"	"Female"	"Inhalation"	"Rats"	"Hazleton, Vienna"	"06/27/1980"	"Carcinogenesis Bioassay of 1,2-Dibromoethane (CASRN 106-93-4) in F344 Rats and B6C3F1 Mice (Inhalation Study)"	"Neoplastic Lesions"	"C00522B"	"1,2-Dibromoethane"	"10513-F"	"http://ntp.niehs.nih.gov/go/TS-10513-F"	"Scavenger for lead in gasoline; soil and grain fumigant; intermediate for dyes and drugs.  Associated with tobacco: reported either as a natural component of tobacco, pyrolysis product (in tobacco smoke), or additive for one or more types of tobacco products."
"106-93-4"	"0,10,40 PPM/50 PER GROUP"	"Mammary Gland"	"TR-210"	"ADENOCARCINOMA 2/50 14/50 8/50"	"Positive"	"Female"	"Inhalation"	"Mice"	"Hazleton, Vienna"	"06/27/1980"	"Carcinogenesis Bioassay of 1,2-Dibromoethane (CASRN 106-93-4) in F344 Rats and B6C3F1 Mice (Inhalation Study)"	"Neoplastic Lesions"	"C00522B"	"1,2-Dibromoethane"	"10513-F"	"http://ntp.niehs.nih.gov/go/TS-10513-F"	"Scavenger for lead in gasoline; soil and grain fumigant; intermediate for dyes and drugs.  Associated with tobacco: reported either as a natural component of tobacco, pyrolysis product (in tobacco smoke), or additive for one or more types of tobacco products."
"106-93-4"	"0,10,40 PPM/50 PER GROUP"	"Mammary Gland"	"TR-210"	"FIBROADENOMA 4/50 29/50 24/50"	"Positive"	"Female"	"Inhalation"	"Rats"	"Hazleton, Vienna"	"06/27/1980"	"Carcinogenesis Bioassay of 1,2-Dibromoethane (CASRN 106-93-4) in F344 Rats and B6C3F1 Mice (Inhalation Study)"	"Neoplastic Lesions"	"C00522B"	"1,2-Dibromoethane"	"10513-F"	"http://ntp.niehs.nih.gov/go/TS-10513-F"	"Scavenger for lead in gasoline; soil and grain fumigant; intermediate for dyes and drugs.  Associated with tobacco: reported either as a natural component of tobacco, pyrolysis product (in tobacco smoke), or additive for one or more types of tobacco products."
"106-93-4"	"0,10,40 PPM/50 PER GROUP"	"Mesothelium (Abdominal Cavity/Tunica Vaginalis)"	"TR-210"	"MESOTHELIOMA 0/50 7/50 25/50"	"Positive"	"Male"	"Inhalation"	"Rats"	"Hazleton, Vienna"	"06/27/1980"	"Carcinogenesis Bioassay of 1,2-Dibromoethane (CASRN 106-93-4) in F344 Rats and B6C3F1 Mice (Inhalation Study)"	"Neoplastic Lesions"	"C00522B"	"1,2-Dibromoethane"	"10513-F"	"http://ntp.niehs.nih.gov/go/TS-10513-F"	"Scavenger for lead in gasoline; soil and grain fumigant; intermediate for dyes and drugs.  Associated with tobacco: reported either as a natural component of tobacco, pyrolysis product (in tobacco smoke), or additive for one or more types of tobacco products."
"106-93-4"	"0,10,40 PPM/50 PER GROUP"	"Nasal Cavity"	"TR-210"	"CARCINOMA 0/50 0/50 6/50"	"Positive"	"Female"	"Inhalation"	"Mice"	"Hazleton, Vienna"	"06/27/1980"	"Carcinogenesis Bioassay of 1,2-Dibromoethane (CASRN 106-93-4) in F344 Rats and B6C3F1 Mice (Inhalation Study)"	"Neoplastic Lesions"	"C00522B"	"1,2-Dibromoethane"	"10513-F"	"http://ntp.niehs.nih.gov/go/TS-10513-F"	"Scavenger for lead in gasoline; soil and grain fumigant; intermediate for dyes and drugs.  Associated with tobacco: reported either as a natural component of tobacco, pyrolysis product (in tobacco smoke), or additive for one or more types of tobacco products."
"106-93-4"	"0,10,40 PPM/50 PER GROUP"	"Nasal Cavity"	"TR-210"	"ADENOMA 0/50 11/50 3/50; ADENOCARCINOMA 0/50 20/50 29/50; CARCINOMA 0/50 0/50 25/50"	"Positive"	"Female"	"Inhalation"	"Rats"	"Hazleton, Vienna"	"06/27/1980"	"Carcinogenesis Bioassay of 1,2-Dibromoethane (CASRN 106-93-4) in F344 Rats and B6C3F1 Mice (Inhalation Study)"	"Neoplastic Lesions"	"C00522B"	"1,2-Dibromoethane"	"10513-F"	"http://ntp.niehs.nih.gov/go/TS-10513-F"	"Scavenger for lead in gasoline; soil and grain fumigant; intermediate for dyes and drugs.  Associated with tobacco: reported either as a natural component of tobacco, pyrolysis product (in tobacco smoke), or additive for one or more types of tobacco products."
"106-93-4"	"0,10,40 PPM/50 PER GROUP"	"Nasal Cavity"	"TR-210"	"ADENOMA 0/50 11/50 0/50; ADENOCARCINOMA 0/50 20/50 28/50; CARCINOMA 0/50 0/50 21/50"	"Positive"	"Male"	"Inhalation"	"Rats"	"Hazleton, Vienna"	"06/27/1980"	"Carcinogenesis Bioassay of 1,2-Dibromoethane (CASRN 106-93-4) in F344 Rats and B6C3F1 Mice (Inhalation Study)"	"Neoplastic Lesions"	"C00522B"	"1,2-Dibromoethane"	"10513-F"	"http://ntp.niehs.nih.gov/go/TS-10513-F"	"Scavenger for lead in gasoline; soil and grain fumigant; intermediate for dyes and drugs.  Associated with tobacco: reported either as a natural component of tobacco, pyrolysis product (in tobacco smoke), or additive for one or more types of tobacco products."
"106-93-4"	"0,10,40 PPM/50 PER GROUP"	"Subcutaneous Tissue"	"TR-210"	"FIBROSARCOMA 0/50 5/50 11/50"	"Positive"	"Female"	"Inhalation"	"Mice"	"Hazleton, Vienna"	"06/27/1980"	"Carcinogenesis Bioassay of 1,2-Dibromoethane (CASRN 106-93-4) in F344 Rats and B6C3F1 Mice (Inhalation Study)"	"Neoplastic Lesions"	"C00522B"	"1,2-Dibromoethane"	"10513-F"	"http://ntp.niehs.nih.gov/go/TS-10513-F"	"Scavenger for lead in gasoline; soil and grain fumigant; intermediate for dyes and drugs.  Associated with tobacco: reported either as a natural component of tobacco, pyrolysis product (in tobacco smoke), or additive for one or more types of tobacco products."
"106-93-4"	"0,10,40 PPM/50 PER GROUP"	"Vascular System (Unspecified)"	"TR-210"	"HEMANGIOSARCOMA 0/50 11/50 23/50"	"Positive"	"Female"	"Inhalation"	"Mice"	"Hazleton, Vienna"	"06/27/1980"	"Carcinogenesis Bioassay of 1,2-Dibromoethane (CASRN 106-93-4) in F344 Rats and B6C3F1 Mice (Inhalation Study)"	"Neoplastic Lesions"	"C00522B"	"1,2-Dibromoethane"	"10513-F"	"http://ntp.niehs.nih.gov/go/TS-10513-F"	"Scavenger for lead in gasoline; soil and grain fumigant; intermediate for dyes and drugs.  Associated with tobacco: reported either as a natural component of tobacco, pyrolysis product (in tobacco smoke), or additive for one or more types of tobacco products."
"106-93-4"	"0,10,40 PPM/50 PER GROUP"	"Vascular System (Unspecified)"	"TR-210"	"HEMANGIOSARCOMA 0/50 0/50 5/50"	"Positive"	"Female"	"Inhalation"	"Rats"	"Hazleton, Vienna"	"06/27/1980"	"Carcinogenesis Bioassay of 1,2-Dibromoethane (CASRN 106-93-4) in F344 Rats and B6C3F1 Mice (Inhalation Study)"	"Neoplastic Lesions"	"C00522B"	"1,2-Dibromoethane"	"10513-F"	"http://ntp.niehs.nih.gov/go/TS-10513-F"	"Scavenger for lead in gasoline; soil and grain fumigant; intermediate for dyes and drugs.  Associated with tobacco: reported either as a natural component of tobacco, pyrolysis product (in tobacco smoke), or additive for one or more types of tobacco products."
"106-93-4"	"0,10,40 PPM/50 PER GROUP"	"Vascular System (Unspecified)"	"TR-210"	"HEMANGIOSARCOMA 0/50 1/50 15/50"	"Positive"	"Male"	"Inhalation"	"Rats"	"Hazleton, Vienna"	"06/27/1980"	"Carcinogenesis Bioassay of 1,2-Dibromoethane (CASRN 106-93-4) in F344 Rats and B6C3F1 Mice (Inhalation Study)"	"Neoplastic Lesions"	"C00522B"	"1,2-Dibromoethane"	"10513-F"	"http://ntp.niehs.nih.gov/go/TS-10513-F"	"Scavenger for lead in gasoline; soil and grain fumigant; intermediate for dyes and drugs.  Associated with tobacco: reported either as a natural component of tobacco, pyrolysis product (in tobacco smoke), or additive for one or more types of tobacco products."
"107-06-2"	"R: 0,47,95 (AVG), MM: 0,97,195 (AVG), FM: 0,149,299 (AVG) MG/KG/50 PER GROUP"	"Forestomach"	"TR-055"	"(SQUAMOUS CELL CARCINOMA)"	"Positive"	"Male"	"Gavage"	"Rats"	"Hazleton, Vienna"	"03/06/1978"	"Bioassay of 1,2-Dichloroethane for Possible Carcinogenicity (CASRN 107-06-2)"	"Neoplastic Lesions"	"C00511A"	"1,2-Dichloroethane"	"10962-L"	"http://ntp.niehs.nih.gov/go/TS-10962-L"	"Production of vinyl chloride and other chlorinated chemicals; lead scavenger; fumigant; solvent for pharmaceutical products, upholstery and carpet cleaner, rubber goods (HSDB 1990).  Associated with tobacco: reported either as a natural component of tobacco, pyrolysis product (in tobacco smoke), or additive for one or more types of tobacco products."
"107-06-2"	"R: 0,47,95 (AVG), MM: 0,97,195 (AVG), FM: 0,149,299 (AVG) MG/KG/50 PER GROUP"	"Lung"	"TR-055"	"(ALVEOLAR/BRONCHIOLAR ADENOMA)"	"Positive"	"Female"	"Gavage"	"Mice"	"Hazleton, Vienna"	"03/06/1978"	"Bioassay of 1,2-Dichloroethane for Possible Carcinogenicity (CASRN 107-06-2)"	"Neoplastic Lesions"	"C00511A"	"1,2-Dichloroethane"	"10962-L"	"http://ntp.niehs.nih.gov/go/TS-10962-L"	"Production of vinyl chloride and other chlorinated chemicals; lead scavenger; fumigant; solvent for pharmaceutical products, upholstery and carpet cleaner, rubber goods (HSDB 1990).  Associated with tobacco: reported either as a natural component of tobacco, pyrolysis product (in tobacco smoke), or additive for one or more types of tobacco products."
"107-06-2"	"R: 0,47,95 (AVG), MM: 0,97,195 (AVG), FM: 0,149,299 (AVG) MG/KG/50 PER GROUP"	"Lung"	"TR-055"	"(ALVEOLAR/BRONCHIOLAR ADENOMA)"	"Positive"	"Male"	"Gavage"	"Mice"	"Hazleton, Vienna"	"03/06/1978"	"Bioassay of 1,2-Dichloroethane for Possible Carcinogenicity (CASRN 107-06-2)"	"Neoplastic Lesions"	"C00511A"	"1,2-Dichloroethane"	"10962-L"	"http://ntp.niehs.nih.gov/go/TS-10962-L"	"Production of vinyl chloride and other chlorinated chemicals; lead scavenger; fumigant; solvent for pharmaceutical products, upholstery and carpet cleaner, rubber goods (HSDB 1990).  Associated with tobacco: reported either as a natural component of tobacco, pyrolysis product (in tobacco smoke), or additive for one or more types of tobacco products."
"107-06-2"	"R: 0,47,95 (AVG), MM: 0,97,195 (AVG), FM: 0,149,299 (AVG) MG/KG/50 PER GROUP"	"Mammary Gland"	"TR-055"	"(ADENOCARCINOMA)"	"Positive"	"Female"	"Gavage"	"Mice"	"Hazleton, Vienna"	"03/06/1978"	"Bioassay of 1,2-Dichloroethane for Possible Carcinogenicity (CASRN 107-06-2)"	"Neoplastic Lesions"	"C00511A"	"1,2-Dichloroethane"	"10962-L"	"http://ntp.niehs.nih.gov/go/TS-10962-L"	"Production of vinyl chloride and other chlorinated chemicals; lead scavenger; fumigant; solvent for pharmaceutical products, upholstery and carpet cleaner, rubber goods (HSDB 1990).  Associated with tobacco: reported either as a natural component of tobacco, pyrolysis product (in tobacco smoke), or additive for one or more types of tobacco products."
"107-06-2"	"R: 0,47,95 (AVG), MM: 0,97,195 (AVG), FM: 0,149,299 (AVG) MG/KG/50 PER GROUP"	"Mammary Gland"	"TR-055"	"(ADENOCARCINOMA)"	"Positive"	"Female"	"Gavage"	"Rats"	"Hazleton, Vienna"	"03/06/1978"	"Bioassay of 1,2-Dichloroethane for Possible Carcinogenicity (CASRN 107-06-2)"	"Neoplastic Lesions"	"C00511A"	"1,2-Dichloroethane"	"10962-L"	"http://ntp.niehs.nih.gov/go/TS-10962-L"	"Production of vinyl chloride and other chlorinated chemicals; lead scavenger; fumigant; solvent for pharmaceutical products, upholstery and carpet cleaner, rubber goods (HSDB 1990).  Associated with tobacco: reported either as a natural component of tobacco, pyrolysis product (in tobacco smoke), or additive for one or more types of tobacco products."
"107-06-2"	"R: 0,47,95 (AVG), MM: 0,97,195 (AVG), FM: 0,149,299 (AVG) MG/KG/50 PER GROUP"	"Subcutaneous Tissue"	"TR-055"	"(FIBROMA)"	"Positive"	"Male"	"Gavage"	"Rats"	"Hazleton, Vienna"	"03/06/1978"	"Bioassay of 1,2-Dichloroethane for Possible Carcinogenicity (CASRN 107-06-2)"	"Neoplastic Lesions"	"C00511A"	"1,2-Dichloroethane"	"10962-L"	"http://ntp.niehs.nih.gov/go/TS-10962-L"	"Production of vinyl chloride and other chlorinated chemicals; lead scavenger; fumigant; solvent for pharmaceutical products, upholstery and carpet cleaner, rubber goods (HSDB 1990).  Associated with tobacco: reported either as a natural component of tobacco, pyrolysis product (in tobacco smoke), or additive for one or more types of tobacco products."
"107-06-2"	"R: 0,47,95 (AVG), MM: 0,97,195 (AVG), FM: 0,149,299 (AVG) MG/KG/50 PER GROUP"	"Uterus/Cervix"	"TR-055"	"(POLYP, SARCOMA)"	"Positive"	"Female"	"Gavage"	"Mice"	"Hazleton, Vienna"	"03/06/1978"	"Bioassay of 1,2-Dichloroethane for Possible Carcinogenicity (CASRN 107-06-2)"	"Neoplastic Lesions"	"C00511A"	"1,2-Dichloroethane"	"10962-L"	"http://ntp.niehs.nih.gov/go/TS-10962-L"	"Production of vinyl chloride and other chlorinated chemicals; lead scavenger; fumigant; solvent for pharmaceutical products, upholstery and carpet cleaner, rubber goods (HSDB 1990).  Associated with tobacco: reported either as a natural component of tobacco, pyrolysis product (in tobacco smoke), or additive for one or more types of tobacco products."
"107-06-2"	"R: 0,47,95 (AVG), MM: 0,97,195 (AVG), FM: 0,149,299 (AVG) MG/KG/50 PER GROUP"	"Vascular System (Unspecified)"	"TR-055"	"(HEMANGIOSARCOMA)"	"Positive"	"Male"	"Gavage"	"Rats"	"Hazleton, Vienna"	"03/06/1978"	"Bioassay of 1,2-Dichloroethane for Possible Carcinogenicity (CASRN 107-06-2)"	"Neoplastic Lesions"	"C00511A"	"1,2-Dichloroethane"	"10962-L"	"http://ntp.niehs.nih.gov/go/TS-10962-L"	"Production of vinyl chloride and other chlorinated chemicals; lead scavenger; fumigant; solvent for pharmaceutical products, upholstery and carpet cleaner, rubber goods (HSDB 1990).  Associated with tobacco: reported either as a natural component of tobacco, pyrolysis product (in tobacco smoke), or additive for one or more types of tobacco products."
"78-87-5"	"FR&M: 0,125,250, MR: 0,62,125 MG/KG/50 PER GROUP"	""	"TR-263"	""	"No Evidence"	"Male"	"Gavage"	"Rats"	"T.S.I. Mason Laboratories, Inc."	"06/29/1983"	"Toxicology and Carcinogenesis Studies of 1,2-Dichloropropane (Propylene Dichloride) (CASRN 78-87-5) in F344/N Rats and B6C3F1 Mice (Gavage Studies)"	""	"C55141"	"1,2-Dichloropropane (propylene dichloride)"	"10111-C"	"http://ntp.niehs.nih.gov/go/TS-10111-C"	"Intermediate; in finishes, dry cleaning fluids, and paint removers; fumigant, insecticide for stored grains, fruits, solvent in plastics, in antiknock compounds (HSDB 1990). Associated with tobacco: reported either as a natural component of tobacco, pyrolysis product (in tobacco smoke), or additive for one or more types of tobacco products."
"78-87-5"	"FR&M: 0,125,250, MR: 0,62,125 MG/KG/50 PER GROUP"	"Liver"	"TR-263"	"ADENOMA 1/50 5/50 5/50"	"Some Evidence"	"Female"	"Gavage"	"Mice"	"T.S.I. Mason Laboratories, Inc."	"06/29/1983"	"Toxicology and Carcinogenesis Studies of 1,2-Dichloropropane (Propylene Dichloride) (CASRN 78-87-5) in F344/N Rats and B6C3F1 Mice (Gavage Studies)"	"Neoplastic Lesions"	"C55141"	"1,2-Dichloropropane (propylene dichloride)"	"10111-C"	"http://ntp.niehs.nih.gov/go/TS-10111-C"	"Intermediate; in finishes, dry cleaning fluids, and paint removers; fumigant, insecticide for stored grains, fruits, solvent in plastics, in antiknock compounds (HSDB 1990). Associated with tobacco: reported either as a natural component of tobacco, pyrolysis product (in tobacco smoke), or additive for one or more types of tobacco products."
"78-87-5"	"FR&M: 0,125,250, MR: 0,62,125 MG/KG/50 PER GROUP"	"Liver"	"TR-263"	"ADENOMA 7/50 10/50 17/50"	"Some Evidence"	"Male"	"Gavage"	"Mice"	"T.S.I. Mason Laboratories, Inc."	"06/29/1983"	"Toxicology and Carcinogenesis Studies of 1,2-Dichloropropane (Propylene Dichloride) (CASRN 78-87-5) in F344/N Rats and B6C3F1 Mice (Gavage Studies)"	"Neoplastic Lesions"	"C55141"	"1,2-Dichloropropane (propylene dichloride)"	"10111-C"	"http://ntp.niehs.nih.gov/go/TS-10111-C"	"Intermediate; in finishes, dry cleaning fluids, and paint removers; fumigant, insecticide for stored grains, fruits, solvent in plastics, in antiknock compounds (HSDB 1990). Associated with tobacco: reported either as a natural component of tobacco, pyrolysis product (in tobacco smoke), or additive for one or more types of tobacco products."
"78-87-5"	"FR&M: 0,125,250, MR: 0,62,125 MG/KG/50 PER GROUP"	"Mammary Gland"	"TR-263"	"ADENOCARCINOMA 1/50 2/50 5/50"	"Equivocal Evidence"	"Female"	"Gavage"	"Rats"	"T.S.I. Mason Laboratories, Inc."	"06/29/1983"	"Toxicology and Carcinogenesis Studies of 1,2-Dichloropropane (Propylene Dichloride) (CASRN 78-87-5) in F344/N Rats and B6C3F1 Mice (Gavage Studies)"	"Neoplastic Lesions"	"C55141"	"1,2-Dichloropropane (propylene dichloride)"	"10111-C"	"http://ntp.niehs.nih.gov/go/TS-10111-C"	"Intermediate; in finishes, dry cleaning fluids, and paint removers; fumigant, insecticide for stored grains, fruits, solvent in plastics, in antiknock compounds (HSDB 1990). Associated with tobacco: reported either as a natural component of tobacco, pyrolysis product (in tobacco smoke), or additive for one or more types of tobacco products."
"96-18-4"	"R: 0,3,10,30, M: 0,6,20,60 MG/KG"	"Clitoral Gland"	"TR-384"	"ADENOMA 5/46 10/46 13/50 10/51 OR CARCINOMA 0/46 0/46 4/50 6/51 COMBINED 5/46 10/46 17/50 15/51"	"Clear Evidence"	"Female"	"Gavage"	"Rats"	"T.S.I. Mason Laboratories, Inc."	"07/09/1991"	"Toxicology and Carcinogenesis Studies of 1,2,3-Trichloropropane (CASRN 96-18-4) in F344 Rats and B6C3F1 Mice (Feed Studies)"	"Neoplastic Lesions"	"C60220B"	"1,2,3-Trichloropropane"	"10186-C"	"http://ntp.niehs.nih.gov/go/TS-10186-C"	"Paint and varnish remover. Solvent. Degreasing agent. Intermediate for polysulfide liquid polymers."
"96-18-4"	"R: 0,3,10,30, M: 0,6,20,60 MG/KG"	"Forestomach"	"TR-384"	"SQUAMOUS CELL PAPILLOMA 0/50 23/50 18/51 29/55; SQUAMOUS CELL CARCINOMA 0/50 46/50 49/51 49/55"	"Clear Evidence"	"Female"	"Gavage"	"Mice"	"T.S.I. Mason Laboratories, Inc."	"07/09/1991"	"Toxicology and Carcinogenesis Studies of 1,2,3-Trichloropropane (CASRN 96-18-4) in F344 Rats and B6C3F1 Mice (Feed Studies)"	"Neoplastic Lesions"	"C60220B"	"1,2,3-Trichloropropane"	"10186-C"	"http://ntp.niehs.nih.gov/go/TS-10186-C"	"Paint and varnish remover. Solvent. Degreasing agent. Intermediate for polysulfide liquid polymers."
