"Publication No."	"Publication Title"	"CASRN"	"Test Article Name"	"Test Article No."	"Testing Status URL"	"Study No."	"Species"	"Strain"	"Sex"	"Route"	"Exposure"	"Organ"	"Level of Evidence"	"Organ Site Call"	"Tumor Type/Incidence"	"Finding Type"	"Lab"	"Peer Review Date"	"Description"
"TR-118"	"Bioassay of 5-Nitroacenaphthene for Possible Carcinogenicity (CASRN 602-87-9)"	"602-87-9"	"5-Nitroacenaphthene"	"10644-N"	"https://ntp.niehs.nih.gov/go/ts-10644-n"	"C01967"	"Rats"	"F344/N"	"Female"	"Dosed-Feed"	"R: 0, .12, .24, MM: 0, .06, .12 (AVG), FM: 0, .05, .12 (AVG) %/50 PER GROUP"	"Mammary Gland"	"Positive"	"Positive"	"(ADENOCARCINOMA)"	"Neoplastic Lesions"	"T.S.I. Mason Laboratories, Inc."	"06/29/1978"	"Research chemical; in Japan as intermediate for dyes in detergents"
"TR-146"	"Bioassay of Nithiazide for Possible Carcinogenicity (CASRN 139-94-6)"	"139-94-6"	"Nithiazide"	"10853-D"	"https://ntp.niehs.nih.gov/go/ts-10853-d"	"C03792"	"Rats"	"F344/N"	"Female"	"Dosed-Feed"	"R: 0, 625, 1250, M: 0, 2500, 5000 PPM/50 PER GROUP"	"Mammary Gland"	"Positive"	"Positive"	"(FIBROADENOMA OR CYSTADENOMA)"	"Neoplastic Lesions"	"Litton Bionetics, Inc."	"10/25/1978"	"Antiprotozoal compound in veterinary medicine."
"TR-153"	"Bioassay of o-Toluidine Hydrochloride for Possible Carcinogenicity (CASRN 636-21-5)"	"636-21-5"	"o-Toluidine hydrochloride"	"10654-W"	"https://ntp.niehs.nih.gov/go/ts-10654-w"	"C02335"	"Rats"	"F344/N"	"Female"	"Dosed-Feed"	"R: 0, 3000, 6000, M: 0, 1000, 3000 PPM/50 PER GROUP"	"Mammary Gland"	"Positive"	"Positive"	"(ADENOMA OR FIBROADENOMA)"	"Neoplastic Lesions"	"Frederick Cancer Research Facility"	"10/25/1978"	"Dye intermediate; photographic dye; lab reagent; rubber manufacture.  Associated with tobacco: reported either as a natural component of tobacco, pyrolysis product (in tobacco smoke), or additive for one or more types of tobacco products."
"TR-193"	"Bioassay of Reserpine for Possible Carcinogenicity (CASRN 50-55-5)"	"50-55-5"	"Reserpine"	"10355-J"	"https://ntp.niehs.nih.gov/go/ts-10355-j"	"C50157"	"Mice"	"B6C3F1"	"Female"	"Dosed-Feed"	"0, 5, 10 PPM/50 PER GROUP"	"Mammary Gland"	"Positive"	"Positive"	"(FIBROADENOMA, ADENOCARCINOMA, ADENOSQUAMOUS CARCINOMA)"	"Neoplastic Lesions"	"Southern Research Institute"	"05/01/1979"	"Antihypertensive drug"
"TR-162"	"Bioassay of 2,4-Diaminotoluene for Possible Carcinogenicity (CASRN 95-80-7)"	"95-80-7"	"2,4-Diaminotoluene (2,4-toluene diamine)"	"10463-P"	"https://ntp.niehs.nih.gov/go/ts-10463-p"	"C02302"	"Rats"	"F344/N"	"Female"	"Dosed-Feed"	"MR: 0, 79, 176 (AVG), FR: 0, 79, 171 (AVG), M: 0, 100, 200 PPM/50 PER GROUP"	"Mammary Gland"	"Positive"	"Positive"	"(ADENOMA, CARCINOMA)"	"Neoplastic Lesions"	"Frederick Cancer Research Facility"	"12/13/1978"	"Intermediate for polyurethanes and dyes; in hair dyes (formerly)"
"TR-207"	"Carcinogenesis Bioassay of Cytembena (CASRN 21739-91-3)"	"21739-91-3"	"Cytembena"	"10778-H"	"https://ntp.niehs.nih.gov/go/ts-10778-h"	"C50737"	"Rats"	"F344/N"	"Female"	"Intraperitoneal Injection"	"R: 0, 7, 14, M: 0, 12, 24 MG/KG/50 PER GROUP"	"Mammary Gland"	"Positive"	"Positive"	"FIBROADENOMA 13/49 22/50 36/50"	"Neoplastic Lesions"	"Southern Research Institute"	"06/27/1980"	"Cytostatic agent (formerly)"
"TR-210"	"Carcinogenesis Bioassay of 1,2-Dibromoethane (CASRN 106-93-4) in F344 Rats and B6C3F1 Mice (Inhalation Study)"	"106-93-4"	"1,2-Dibromoethane"	"10513-F"	"https://ntp.niehs.nih.gov/go/ts-10513-f"	"C00522B"	"Mice"	"B6C3F1"	"Female"	"Inhalation"	"0, 10, 40 PPM/50 PER GROUP"	"Mammary Gland"	"Positive"	"Positive"	"ADENOCARCINOMA 2/50 14/50 8/50"	"Neoplastic Lesions"	"Hazleton, Vienna"	"06/27/1980"	"Scavenger for lead in gasoline; soil and grain fumigant; intermediate for dyes and drugs.  Associated with tobacco: reported either as a natural component of tobacco, pyrolysis product (in tobacco smoke), or additive for one or more types of tobacco products."
"TR-210"	"Carcinogenesis Bioassay of 1,2-Dibromoethane (CASRN 106-93-4) in F344 Rats and B6C3F1 Mice (Inhalation Study)"	"106-93-4"	"1,2-Dibromoethane"	"10513-F"	"https://ntp.niehs.nih.gov/go/ts-10513-f"	"C00522B"	"Rats"	"F344/N"	"Female"	"Inhalation"	"0, 10, 40 PPM/50 PER GROUP"	"Mammary Gland"	"Positive"	"Positive"	"FIBROADENOMA 4/50 29/50 24/50"	"Neoplastic Lesions"	"Hazleton, Vienna"	"06/27/1980"	"Scavenger for lead in gasoline; soil and grain fumigant; intermediate for dyes and drugs.  Associated with tobacco: reported either as a natural component of tobacco, pyrolysis product (in tobacco smoke), or additive for one or more types of tobacco products."
"TR-263"	"Toxicology and Carcinogenesis Studies of 1,2-Dichloropropane (Propylene Dichloride) (CASRN 78-87-5) in F344/N Rats and B6C3F1 Mice (Gavage Studies)"	"78-87-5"	"1,2-Dichloropropane (propylene dichloride)"	"10111-C"	"https://ntp.niehs.nih.gov/go/ts-10111-c"	"C55141"	"Rats"	"F344/N"	"Female"	"Gavage"	"FR&M: 0, 125, 250, MR: 0, 62, 125 MG/KG/50 PER GROUP"	"Mammary Gland"	"Equivocal Evidence"	"Equivocal Evidence"	"ADENOCARCINOMA 1/50 2/50 5/50"	"Neoplastic Lesions"	"T.S.I. Mason Laboratories, Inc."	"06/29/1983"	"Intermediate; in finishes, dry cleaning fluids, and paint removers; fumigant, insecticide for stored grains, fruits, solvent in plastics, in antiknock compounds (HSDB 1990). Associated with tobacco: reported either as a natural component of tobacco, pyrolysis product (in tobacco smoke), or additive for one or more types of tobacco products."
"TR-251"	"Toxicology and Carcinogenesis Studies of Commercial Grade 2,4 (80)- and 2,6 (20)- Toluene Diisocyanate (CASRN 26471-62-5) in F344/N Rats and B6C3F1 Mice (Gavage Studies)"	"26471-62-5"	"2,4- & 2,6-Toluene diisocyanate"	"10638-W"	"https://ntp.niehs.nih.gov/go/ts-10638-w"	"C50533"	"Rats"	"F344/N"	"Female"	"Gavage"	"MR: 0, 30, 60, FR&FM: 0, 60, 120, MM: 0, 120, 240, MG/KG/50 PER GROUP"	"Mammary Gland"	"Positive"	"Positive"	"FIBROADENOMA 15/50 21/50 18/50"	"Neoplastic Lesions"	"Litton Bionetics, Inc."	"09/22/1982"	"Manufacture of flexible polyurethane foams and coatings for lacquer and wood finishes"
"TR-288"	"Toxicology and Carcinogenesis Studies of 1,3-Butadiene (CASRN 106-99-0) in B6C3F1 Mice (Inhalation Studies)"	"106-99-0"	"1,3-Butadiene"	"10514-J"	"https://ntp.niehs.nih.gov/go/ts-10514-j"	"C50602A"	"Mice"	"B6C3F1"	"Female"	"Inhalation"	"0, 625, 1250 PPM/50 PER GROUP"	"Mammary Gland"	"Clear Evidence"	"Clear Evidence"	"ACINAR CELL CARCINOMA 0/50 2/49 6/49"	"Neoplastic Lesions"	"Battelle Northwest Laboratory"	"10/28/1983"	"Chemical intermediate. Manufacture of synthetic rubber and of thermoplastic resins. Produced from petroleum gases (Merck 1989).  Associated with tobacco: reported either as a natural component of tobacco, pyrolysis product (in tobacco smoke), or additive for one or more types of tobacco products."
"TR-289"	"Toxicology and Carcinogenesis Studies of Benzene (CASRN 71-43-2) in F344/N Rats and B6C3F1 Mice (Gavage Studies)"	"71-43-2"	"Benzene"	"10389-Y"	"https://ntp.niehs.nih.gov/go/ts-10389-y"	"C55276"	"Mice"	"B6C3F1"	"Female"	"Gavage"	"FR&M: 0, 25, 50, 100, MR: 0, 50, 100, 200 MG/KG/50 PER GROUP"	"Mammary Gland"	"Clear Evidence"	"Clear Evidence"	"CARCINOMA 0/49 2/45 5/50 10/49; CARCINOSARCOMA 0/49 0/45 1/50 4/49"	"Neoplastic Lesions"	"Battelle Columbus Laboratory"	"07/27/1984"	"In manufacture of medicinal chemicals, dyes, organic compounds, artificial leather, linoleum, oil cloth, varnishes, lacquers, solvent for waxes, resins, oils. Used to destroy screwworm larvae in wounds; veterinary use (Merck 1989).  Associated with tobacco: reported either as a natural component of tobacco, pyrolysis product (in tobacco smoke), or additive for one or more types of tobacco products."
"TR-285"	"Toxicology and Carcinogenesis Studies of C.I. Basic Red 9 Monohydrochloride (Pararosaniline) (CASRN 569-61-9) in F344/N Rats and B6C3F1 Mice (Feed Studies)"	"569-61-9"	"C.I. Basic Red 9 Monohydrochloride"	"10633-C"	"https://ntp.niehs.nih.gov/go/ts-10633-c"	"C54739"	"Rats"	"F344/N"	"Female"	"Dosed-Feed"	"MR: 0, 1000, OR 2000 PPM -- FR AND M&F MICE 0, 500, OR 1000 PPM; 50/SEX/SPECIES"	"Mammary Gland"	"Clear Evidence"	"Equivocal Evidence"	"ADENOMA 0/50 3/50 1/50, FIBROADENOMA 22/50 31/50 29/50, OR ADENOCARCINOMA 2/50 2/50 5/50 COMBINED 23/50 32/50 32/50"	"May Have Been Related"	"T.S.I. Mason Laboratories, Inc."	"03/29/1985"	"Dye for textiles, leather, photography and paper, and as biologic stain"
"TR-306"	"Toxicology and Carcinogenesis Studies of Dichloromethane (Methylene Chloride) (CASRN 75-09-2) in F344/N Rats and B6C3F1 Mice (Inhalation Studies)"	"75-09-2"	"Methylene chloride"	"10030-H"	"https://ntp.niehs.nih.gov/go/ts-10030-h"	"C50102B"	"Rats"	"F344/N"	"Female"	"Inhalation"	"R: 0, 1000, 2000, 4000, M: 0, 2000, 4000 PPM/50 PER GROUP"	"Mammary Gland"	"Clear Evidence"	"Clear Evidence"	"ADENOMA 0/50 0/50 0/50 1/50 OR FIBROADENOMA 5/50 11/50 13/50 22/50 COMBINED 5/50 11/50 13/50 23/50"	"Neoplastic Lesions"	"Battelle Northwest Laboratory"	"03/29/1985"	"Solvent in paint removers, degreasers, aerosol propellants, extraction solvent in food processing; pharmaceutical aid, component of fire extinguishing compound (HSDB 1990).   Associated with tobacco: reported either as a natural component of tobacco, pyrolysis product (in tobacco smoke), or additive for one or more types of tobacco products."
"TR-306"	"Toxicology and Carcinogenesis Studies of Dichloromethane (Methylene Chloride) (CASRN 75-09-2) in F344/N Rats and B6C3F1 Mice (Inhalation Studies)"	"75-09-2"	"Methylene chloride"	"10030-H"	"https://ntp.niehs.nih.gov/go/ts-10030-h"	"C50102B"	"Rats"	"F344/N"	"Male"	"Inhalation"	"R: 0, 1000, 2000, 4000, M: 0, 2000, 4000 PPM/50 PER GROUP"	"Mammary Gland"	"Some Evidence"	"Some Evidence"	"ADENOMA 0/50 0/50 0/50 1/50 OR FIBROADENOMA 0/50 0/50 2/50 4/50 COMBINED 0/50 0/50 2/50 5/50"	"Neoplastic Lesions"	"Battelle Northwest Laboratory"	"03/29/1985"	"Solvent in paint removers, degreasers, aerosol propellants, extraction solvent in food processing; pharmaceutical aid, component of fire extinguishing compound (HSDB 1990).   Associated with tobacco: reported either as a natural component of tobacco, pyrolysis product (in tobacco smoke), or additive for one or more types of tobacco products."
"TR-400"	"Toxicology and Carcinogenesis Studies of 2,3-Dibromo-1-Propanol (CASRN 96-13-9) in F344/N Rats and B6C3F1 Mice (Dermal Studies)"	"96-13-9"	"2,3-Dibromo-1-propanol"	"10016-R"	"https://ntp.niehs.nih.gov/go/ts-10016-r"	"C55436"	"Rats"	"F344/N"	"Female"	"Topical Application"	"R: 0, 188, 375, M: 0, 88, 177 MG/KG/50 PER GROUP"	"Mammary Gland"	"Clear Evidence"	"Clear Evidence"	"ADENOCARCINOMA 0/50 0/50 5/50"	"Neoplastic Lesions"	"Papanicolaou Research Institute"	"06/23/1992"	"Chemical intermediate for flame retardants, insecticides and pharmaceuticals. "
"TR-358"	"Toxicology and Carcinogenesis Studies of Ochratoxin A (CASRN 303-47-9) in F344/N Rats (Gavage Studies)"	"303-47-9"	"Ochratoxin A"	"10268-Y"	"https://ntp.niehs.nih.gov/go/ts-10268-y"	"C56586"	"Rats"	"F344/N"	"Female"	"Gavage"	"R: 0, 21, 70, 210 MG/KG"	"Mammary Gland"	"Clear Evidence"	"Clear Evidence"	"FIBROADENOMA 17/50 23/51 22/50 28/50"	"Neoplastic Lesions"	"Battelle Columbus Laboratory"	"04/18/1988"	"Naturally occurring fungal toxin; contaminant in corn, peanuts, storage grains, cottonseed, meats, dried fish, and nuts."
"TR-342"	"Toxicology and Carcinogenesis Studies of Dichlorvos (CASRN 62-73-7) in F344/N Rats and B6C3F1 Mice (Gavage Studies)"	"62-73-7"	"Dichlorvos"	"10017-V"	"https://ntp.niehs.nih.gov/go/ts-10017-v"	"C00113B"	"Rats"	"F344/N"	"Female"	"Gavage"	"R: 0, 4, 8, MM: 0, 10, 20, FM: 0, 20, 40 MG/KG/50 PER GROUP"	"Mammary Gland"	"Equivocal Evidence"	"Equivocal Evidence"	"FIBROADENOMA 9/50 19/50 16/50 OR ADENOMA 0/50 0/50 1/50 COMBINED 9/50 19/50 17/50"	"Neoplastic Lesions"	"Southern Research Institute"	"07/14/1987"	"Insecticide. Fumigant. Veterinary use for quick knockdown of insects. Associated with tobacco: reported either as a natural component of tobacco, pyrolysis product (in tobacco smoke), or additive for one or more types of tobacco products. "
"TR-434"	"Toxicology and Carcinogenesis Studies of 1,3-Butadiene (CASRN 106-99-0) in B6C3F1 Mice (Inhalation Studies)"	"106-99-0"	"1,3-Butadiene"	"10514-J"	"https://ntp.niehs.nih.gov/go/ts-10514-j"	"C50602C"	"Mice"	"B6C3F1"	"Female"	"Inhalation"	"0, 6.25, 20, 62.5, 200, 625 PPM/50 PER GROUP"	"Mammary Gland"	"Clear Evidence"	"Clear Evidence"	"ADENOACANTHOMA, ADENOCARCINOMA, OR MALIGNANT MIXED TUMOR 0/50 2/50 4/50 12/50 15/50 16/80"	"Neoplastic Lesions"	"Battelle Northwest Laboratory"	"11/21/1991"	"Chemical intermediate. Manufacture of synthetic rubber and of thermoplastic resins. Produced from petroleum gases (Merck 1989).  Associated with tobacco: reported either as a natural component of tobacco, pyrolysis product (in tobacco smoke), or additive for one or more types of tobacco products."
"TR-405"	"Toxicology and Carcinogenesis Studies of C.I. Acid Red 114 (CASRN 6459-94-5) in F344/N Rats (Drinking Water Studies)"	"6459-94-5"	"C.I. Acid Red 114"	"10286-G"	"https://ntp.niehs.nih.gov/go/ts-10286-g"	"C61096"	"Rats"	"F344/N"	"Female"	"Dosed-Water"	"MR: 0, 70, 150, 300, FR: 0, 150, 300, 600 PPM(70, 45, 75, 70 PER GROUP RESPECTIVELY)"	"Mammary Gland"	"Clear Evidence"	"Equivocal Evidence"	"ADENOCARCINOMA 0/50 3/35 6/65 3/50"	"May Have Been Related"	"Hazleton, Vienna"	"03/11/1991"	"Dye for silk, jute fibers, wool, leather. "
"TR-379"	"Toxicology and Carcinogenesis Studies of 2-Chloroacetophenone (CASRN 532-27-4) in F344/N Rats and B6C3F1 Mice (Inhalation Studies)"	"532-27-4"	"2-Chloroacetophenone (CN)"	"10625-C"	"https://ntp.niehs.nih.gov/go/ts-10625-c"	"C55107"	"Rats"	"F344/N"	"Female"	"Inhalation"	"R: 0, 1, 2, M: 0, 2, 4 MG/M3/50 PER GROUP"	"Mammary Gland"	"Equivocal Evidence"	"Equivocal Evidence"	"FIBROADENOMA 12/50 19/50 23/50"	"Neoplastic Lesions"	"Battelle Northwest Laboratory"	"11/20/1989"	"Riot control agent. "
"TR-390"	"Toxicology and Carcinogenesis Studies of 3,3'-Dimethylbenzidine Dihydrochloride (CASRN 612-82-8) in F344/N Rats (Drinking Water Studies)"	"612-82-8"	"3,3'-Dimethylbenzidine dihydrochloride"	"10894-N"	"https://ntp.niehs.nih.gov/go/ts-10894-n"	"C99990"	"Rats"	"F344/N"	"Female"	"Dosed-Water"	"RATS ONLY: 0, 30, 70, 150 PPM (70, 45, 75, 70 PER GROUP RESPECTIVELY)"	"Mammary Gland"	"Clear Evidence"	"Clear Evidence"	"ADENOCARCINOMA 0/60 1/45 3/75 6/60"	"Neoplastic Lesions"	"Hazleton, Vienna"	"04/25/1990"	"Dye; chemical intermediate for azo dyes; curing agent for urethane resins"
"TR-374"	"Toxicology and Carcinogenesis Studies of Glycidol (CASRN 556-52-5) In F344/N Rats and B6C3F1 Mice (Gavage Studies)"	"556-52-5"	"Glycidol"	"10630-P"	"https://ntp.niehs.nih.gov/go/ts-10630-p"	"C55549"	"Rats"	"F344/N"	"Female"	"Gavage"	"R: 0, 38, 75, M: 0, 25, 50 MG/KG/50 PER GROUP"	"Mammary Gland"	"Clear Evidence"	"Clear Evidence"	"FIBROADENOMA 14/50 32/50 29/50; ADENOCARCINOMA 1/50 11/50 16/50"	"Neoplastic Lesions"	"Papanicolaou Research Institute"	"06/27/1989"	"Viscous liquid that is used as a stabilizer in the manufacture of vinyl polymers, as an additive for oil and synthetic hydraulic fluids, and as a diluent in some epoxy resins.  Associated with tobacco: reported either as a natural component of tobacco, pyrolysis product (in tobacco smoke), or additive for one or more types of tobacco products."
"TR-337"	"Toxicology and Carcinogenesis Studies of Nitrofurazone (CASRN 59-87-0) in F344/N Rats and B6C3F1 Mice (Feed Studies)"	"59-87-0"	"Nitrofurazone"	"10047-T"	"https://ntp.niehs.nih.gov/go/ts-10047-t"	"C56064"	"Rats"	"F344/N"	"Female"	"Dosed-Feed"	"R: 0, 310, 620, M: 0, 150, 310 PPM/50 PER GROUP"	"Mammary Gland"	"Clear Evidence"	"Clear Evidence"	"FIBROADENOMA 8/49 36/50 36/50"	"Neoplastic Lesions"	"Physiological Research Laboratory"	"07/14/1987"	"Antibacterial agent, sensitizer and food additive, experimental carcinogen"
