"dsstox_substance_id","casrn","preferred_name","study_id","species","admin_route","study_type","processed","tested_status","reported_status","endpoint_id","endpoint_category","endpoint_type","endpoint_target"
DTXSID0032572,"23031-36-9",Prallethrin,89,mouse,Oral,CHR,1,1,0,19,systemic,pathology microscopic,mammary gland
DTXSID0032572,"23031-36-9",Prallethrin,89,mouse,Oral,CHR,1,1,1,346,systemic,pathology gross,mammary gland
DTXSID0032572,"23031-36-9",Prallethrin,89,mouse,Oral,CHR,1,1,0,346,systemic,pathology gross,mammary gland
DTXSID0032572,"23031-36-9",Prallethrin,90,rat,Oral,CHR,1,1,1,19,systemic,pathology microscopic,mammary gland
DTXSID0032572,"23031-36-9",Prallethrin,90,rat,Oral,CHR,1,1,0,19,systemic,pathology microscopic,mammary gland
DTXSID0032572,"23031-36-9",Prallethrin,90,rat,Oral,CHR,1,1,1,346,systemic,pathology gross,mammary gland
DTXSID0032572,"23031-36-9",Prallethrin,90,rat,Oral,CHR,1,1,0,346,systemic,pathology gross,mammary gland
DTXSID1032482,"96182-53-5",Tebupirimfos,98,mouse,Oral,CHR,1,1,0,19,systemic,pathology microscopic,mammary gland
DTXSID1032482,"96182-53-5",Tebupirimfos,98,mouse,Oral,CHR,1,1,1,19,systemic,pathology microscopic,mammary gland
DTXSID1032482,"96182-53-5",Tebupirimfos,98,mouse,Oral,CHR,1,1,0,346,systemic,pathology gross,mammary gland
DTXSID1032482,"96182-53-5",Tebupirimfos,98,mouse,Oral,CHR,1,1,1,346,systemic,pathology gross,mammary gland
DTXSID1032482,"96182-53-5",Tebupirimfos,99,rat,Oral,CHR,1,1,1,19,systemic,pathology microscopic,mammary gland
DTXSID1032482,"96182-53-5",Tebupirimfos,99,rat,Oral,CHR,1,1,0,19,systemic,pathology microscopic,mammary gland
DTXSID1032482,"96182-53-5",Tebupirimfos,99,rat,Oral,CHR,1,1,1,346,systemic,pathology gross,mammary gland
DTXSID1032482,"96182-53-5",Tebupirimfos,99,rat,Oral,CHR,1,1,0,346,systemic,pathology gross,mammary gland
DTXSID1032640,"95737-68-1",Pyriproxyfen,107,mouse,Oral,CHR,1,1,1,19,systemic,pathology microscopic,mammary gland
DTXSID1032640,"95737-68-1",Pyriproxyfen,107,mouse,Oral,CHR,1,1,1,346,systemic,pathology gross,mammary gland
DTXSID1032640,"95737-68-1",Pyriproxyfen,108,rat,Oral,CHR,1,1,1,19,systemic,pathology microscopic,mammary gland
DTXSID1032640,"95737-68-1",Pyriproxyfen,108,rat,Oral,CHR,1,1,0,19,systemic,pathology microscopic,mammary gland
DTXSID1032640,"95737-68-1",Pyriproxyfen,108,rat,Oral,CHR,1,1,1,346,systemic,pathology gross,mammary gland
DTXSID1032640,"95737-68-1",Pyriproxyfen,108,rat,Oral,CHR,1,1,0,346,systemic,pathology gross,mammary gland
DTXSID6034928,"148477-71-8",Spirodiclofen,116,mouse,Oral,CHR,1,1,1,19,systemic,pathology microscopic,mammary gland
DTXSID6034928,"148477-71-8",Spirodiclofen,116,mouse,Oral,CHR,1,1,0,19,systemic,pathology microscopic,mammary gland
DTXSID6034928,"148477-71-8",Spirodiclofen,116,mouse,Oral,CHR,1,1,1,346,systemic,pathology gross,mammary gland
DTXSID6034928,"148477-71-8",Spirodiclofen,116,mouse,Oral,CHR,1,1,0,346,systemic,pathology gross,mammary gland
DTXSID6034928,"148477-71-8",Spirodiclofen,117,rat,Oral,CHR,1,1,1,19,systemic,pathology microscopic,mammary gland
DTXSID6034928,"148477-71-8",Spirodiclofen,117,rat,Oral,CHR,1,1,0,19,systemic,pathology microscopic,mammary gland
DTXSID6034928,"148477-71-8",Spirodiclofen,117,rat,Oral,CHR,1,1,1,346,systemic,pathology gross,mammary gland
DTXSID6034928,"148477-71-8",Spirodiclofen,117,rat,Oral,CHR,1,1,0,346,systemic,pathology gross,mammary gland
DTXSID8040222,"199119-58-9",Trifloxysulfuron-sodium,124,mouse,Oral,CHR,1,1,1,19,systemic,pathology microscopic,mammary gland
DTXSID8040222,"199119-58-9",Trifloxysulfuron-sodium,124,mouse,Oral,CHR,1,1,0,19,systemic,pathology microscopic,mammary gland
DTXSID8040222,"199119-58-9",Trifloxysulfuron-sodium,124,mouse,Oral,CHR,1,1,1,346,systemic,pathology gross,mammary gland
DTXSID8040222,"199119-58-9",Trifloxysulfuron-sodium,124,mouse,Oral,CHR,1,1,0,346,systemic,pathology gross,mammary gland
DTXSID8040222,"199119-58-9",Trifloxysulfuron-sodium,125,rat,Oral,CHR,1,1,1,19,systemic,pathology microscopic,mammary gland
DTXSID8040222,"199119-58-9",Trifloxysulfuron-sodium,125,rat,Oral,CHR,1,1,0,19,systemic,pathology microscopic,mammary gland
DTXSID8040222,"199119-58-9",Trifloxysulfuron-sodium,125,rat,Oral,CHR,1,1,1,346,systemic,pathology gross,mammary gland
DTXSID8040222,"199119-58-9",Trifloxysulfuron-sodium,125,rat,Oral,CHR,1,1,0,346,systemic,pathology gross,mammary gland
DTXSID6032358,"57966-95-7",Cymoxanil,135,mouse,Oral,CHR,1,1,1,19,systemic,pathology microscopic,mammary gland
DTXSID6032358,"57966-95-7",Cymoxanil,135,mouse,Oral,CHR,1,1,0,19,systemic,pathology microscopic,mammary gland
DTXSID6032358,"57966-95-7",Cymoxanil,135,mouse,Oral,CHR,1,1,1,346,systemic,pathology gross,mammary gland
DTXSID6032358,"57966-95-7",Cymoxanil,135,mouse,Oral,CHR,1,1,0,346,systemic,pathology gross,mammary gland
DTXSID6032358,"57966-95-7",Cymoxanil,136,rat,Oral,CHR,1,1,1,19,systemic,pathology microscopic,mammary gland
DTXSID6032358,"57966-95-7",Cymoxanil,136,rat,Oral,CHR,1,1,0,19,systemic,pathology microscopic,mammary gland
DTXSID6032358,"57966-95-7",Cymoxanil,136,rat,Oral,CHR,1,1,1,346,systemic,pathology gross,mammary gland
DTXSID6032358,"57966-95-7",Cymoxanil,136,rat,Oral,CHR,1,1,0,346,systemic,pathology gross,mammary gland
DTXSID8034877,"53112-28-0",Pyrimethanil,158,mouse,Oral,CHR,1,1,1,19,systemic,pathology microscopic,mammary gland
DTXSID8034877,"53112-28-0",Pyrimethanil,158,mouse,Oral,CHR,1,1,1,346,systemic,pathology gross,mammary gland
DTXSID8034877,"53112-28-0",Pyrimethanil,159,rat,Oral,CHR,1,1,1,19,systemic,pathology microscopic,mammary gland
DTXSID8034877,"53112-28-0",Pyrimethanil,159,rat,Oral,CHR,1,1,0,19,systemic,pathology microscopic,mammary gland
DTXSID8034877,"53112-28-0",Pyrimethanil,159,rat,Oral,CHR,1,1,1,346,systemic,pathology gross,mammary gland
DTXSID8034877,"53112-28-0",Pyrimethanil,159,rat,Oral,CHR,1,1,0,346,systemic,pathology gross,mammary gland
DTXSID3032628,"161050-58-4",Methoxyfenozide,167,mouse,Oral,CHR,1,1,1,19,systemic,pathology microscopic,mammary gland
DTXSID3032628,"161050-58-4",Methoxyfenozide,167,mouse,Oral,CHR,1,1,0,19,systemic,pathology microscopic,mammary gland
DTXSID3032628,"161050-58-4",Methoxyfenozide,167,mouse,Oral,CHR,1,1,1,346,systemic,pathology gross,mammary gland
DTXSID3032628,"161050-58-4",Methoxyfenozide,167,mouse,Oral,CHR,1,1,0,346,systemic,pathology gross,mammary gland
DTXSID3032628,"161050-58-4",Methoxyfenozide,168,rat,Oral,CHR,1,1,0,19,systemic,pathology microscopic,mammary gland
DTXSID3032628,"161050-58-4",Methoxyfenozide,168,rat,Oral,CHR,1,1,1,19,systemic,pathology microscopic,mammary gland
DTXSID3032628,"161050-58-4",Methoxyfenozide,168,rat,Oral,CHR,1,1,0,346,systemic,pathology gross,mammary gland
DTXSID3032628,"161050-58-4",Methoxyfenozide,168,rat,Oral,CHR,1,1,1,346,systemic,pathology gross,mammary gland
DTXSID0034227,"119515-38-7",Icaridin,174,mouse,Dermal,CHR,1,1,1,19,systemic,pathology microscopic,mammary gland
DTXSID0034227,"119515-38-7",Icaridin,174,mouse,Dermal,CHR,1,1,1,346,systemic,pathology gross,mammary gland
DTXSID0034227,"119515-38-7",Icaridin,175,rat,Dermal,CHR,1,1,1,19,systemic,pathology microscopic,mammary gland
DTXSID0034227,"119515-38-7",Icaridin,175,rat,Dermal,CHR,1,1,1,346,systemic,pathology gross,mammary gland
DTXSID7024299,"78587-05-0",Hexythiazox,181,rat,Oral,CHR,1,1,1,19,systemic,pathology microscopic,mammary gland
DTXSID7024299,"78587-05-0",Hexythiazox,181,rat,Oral,CHR,1,1,0,19,systemic,pathology microscopic,mammary gland
DTXSID7024299,"78587-05-0",Hexythiazox,181,rat,Oral,CHR,1,1,1,346,systemic,pathology gross,mammary gland
DTXSID7024299,"78587-05-0",Hexythiazox,181,rat,Oral,CHR,1,1,0,346,systemic,pathology gross,mammary gland
DTXSID7024299,"78587-05-0",Hexythiazox,182,mouse,Oral,CHR,1,1,1,19,systemic,pathology microscopic,mammary gland
DTXSID7024299,"78587-05-0",Hexythiazox,182,mouse,Oral,CHR,1,1,0,19,systemic,pathology microscopic,mammary gland
DTXSID7024299,"78587-05-0",Hexythiazox,182,mouse,Oral,CHR,1,1,1,346,systemic,pathology gross,mammary gland
DTXSID7024299,"78587-05-0",Hexythiazox,182,mouse,Oral,CHR,1,1,0,346,systemic,pathology gross,mammary gland
DTXSID5021754,"77-71-4","5,5-Dimethylhydantoin",194,mouse,Oral,CHR,1,1,1,19,systemic,pathology microscopic,mammary gland
DTXSID5021754,"77-71-4","5,5-Dimethylhydantoin",194,mouse,Oral,CHR,1,1,0,19,systemic,pathology microscopic,mammary gland
DTXSID5021754,"77-71-4","5,5-Dimethylhydantoin",194,mouse,Oral,CHR,1,1,1,346,systemic,pathology gross,mammary gland
DTXSID5021754,"77-71-4","5,5-Dimethylhydantoin",194,mouse,Oral,CHR,1,1,0,346,systemic,pathology gross,mammary gland
DTXSID5021754,"77-71-4","5,5-Dimethylhydantoin",195,mouse,Oral,CHR,1,1,1,19,systemic,pathology microscopic,mammary gland
DTXSID5021754,"77-71-4","5,5-Dimethylhydantoin",195,mouse,Oral,CHR,1,1,1,346,systemic,pathology gross,mammary gland
DTXSID5021754,"77-71-4","5,5-Dimethylhydantoin",196,rat,Oral,CHR,1,1,1,19,systemic,pathology microscopic,mammary gland
DTXSID5021754,"77-71-4","5,5-Dimethylhydantoin",196,rat,Oral,CHR,1,1,0,19,systemic,pathology microscopic,mammary gland
DTXSID5021754,"77-71-4","5,5-Dimethylhydantoin",196,rat,Oral,CHR,1,1,1,346,systemic,pathology gross,mammary gland
DTXSID5021754,"77-71-4","5,5-Dimethylhydantoin",196,rat,Oral,CHR,1,1,0,346,systemic,pathology gross,mammary gland
DTXSID5021754,"77-71-4","5,5-Dimethylhydantoin",197,rat,Oral,CHR,1,1,1,19,systemic,pathology microscopic,mammary gland
DTXSID5021754,"77-71-4","5,5-Dimethylhydantoin",197,rat,Oral,CHR,1,1,0,19,systemic,pathology microscopic,mammary gland
DTXSID5021754,"77-71-4","5,5-Dimethylhydantoin",197,rat,Oral,CHR,1,1,1,346,systemic,pathology gross,mammary gland
DTXSID5021754,"77-71-4","5,5-Dimethylhydantoin",197,rat,Oral,CHR,1,1,0,346,systemic,pathology gross,mammary gland
DTXSID3024102,"22224-92-6",Fenamiphos,211,mouse,Oral,CHR,1,1,0,19,systemic,pathology microscopic,mammary gland
DTXSID3024102,"22224-92-6",Fenamiphos,211,mouse,Oral,CHR,1,1,1,19,systemic,pathology microscopic,mammary gland
DTXSID3024102,"22224-92-6",Fenamiphos,211,mouse,Oral,CHR,1,1,0,346,systemic,pathology gross,mammary gland
DTXSID3024102,"22224-92-6",Fenamiphos,211,mouse,Oral,CHR,1,1,1,346,systemic,pathology gross,mammary gland
DTXSID3024102,"22224-92-6",Fenamiphos,212,rat,Oral,CHR,1,1,1,19,systemic,pathology microscopic,mammary gland
DTXSID3024102,"22224-92-6",Fenamiphos,212,rat,Oral,CHR,1,1,1,346,systemic,pathology gross,mammary gland
DTXSID1024120,"77182-82-2",Glufosinate-ammonium,230,rat,Oral,CHR,1,1,1,19,systemic,pathology microscopic,mammary gland
DTXSID1024120,"77182-82-2",Glufosinate-ammonium,230,rat,Oral,CHR,1,1,1,346,systemic,pathology gross,mammary gland
DTXSID1024120,"77182-82-2",Glufosinate-ammonium,231,rat,Oral,CHR,1,1,1,19,systemic,pathology microscopic,mammary gland
DTXSID1024120,"77182-82-2",Glufosinate-ammonium,231,rat,Oral,CHR,1,1,0,19,systemic,pathology microscopic,mammary gland
DTXSID1024120,"77182-82-2",Glufosinate-ammonium,231,rat,Oral,CHR,1,1,1,346,systemic,pathology gross,mammary gland
DTXSID1024120,"77182-82-2",Glufosinate-ammonium,231,rat,Oral,CHR,1,1,0,346,systemic,pathology gross,mammary gland
DTXSID4021975,"122-39-4",Diphenylamine,239,mouse,Oral,CHR,1,1,1,19,systemic,pathology microscopic,mammary gland
DTXSID4021975,"122-39-4",Diphenylamine,239,mouse,Oral,CHR,1,1,0,19,systemic,pathology microscopic,mammary gland
DTXSID4021975,"122-39-4",Diphenylamine,239,mouse,Oral,CHR,1,1,1,346,systemic,pathology gross,mammary gland
DTXSID4021975,"122-39-4",Diphenylamine,239,mouse,Oral,CHR,1,1,0,346,systemic,pathology gross,mammary gland
DTXSID4021975,"122-39-4",Diphenylamine,240,rat,Oral,CHR,1,1,1,19,systemic,pathology microscopic,mammary gland
DTXSID4021975,"122-39-4",Diphenylamine,240,rat,Oral,CHR,1,1,0,19,systemic,pathology microscopic,mammary gland
DTXSID4021975,"122-39-4",Diphenylamine,240,rat,Oral,CHR,1,1,1,346,systemic,pathology gross,mammary gland
DTXSID4021975,"122-39-4",Diphenylamine,240,rat,Oral,CHR,1,1,0,346,systemic,pathology gross,mammary gland
DTXSID4032615,"98967-40-9",Flumetsulam,248,mouse,Oral,CHR,1,1,1,19,systemic,pathology microscopic,mammary gland
DTXSID4032615,"98967-40-9",Flumetsulam,248,mouse,Oral,CHR,1,1,1,346,systemic,pathology gross,mammary gland
DTXSID4032615,"98967-40-9",Flumetsulam,249,rat,Oral,CHR,1,1,1,19,systemic,pathology microscopic,mammary gland
DTXSID4032615,"98967-40-9",Flumetsulam,249,rat,Oral,CHR,1,1,0,19,systemic,pathology microscopic,mammary gland
DTXSID4032615,"98967-40-9",Flumetsulam,249,rat,Oral,CHR,1,1,1,346,systemic,pathology gross,mammary gland
DTXSID4032615,"98967-40-9",Flumetsulam,249,rat,Oral,CHR,1,1,0,346,systemic,pathology gross,mammary gland
DTXSID3041794,"99607-70-2",Cloquintocet-mexyl,256,mouse,Oral,CHR,1,1,0,19,systemic,pathology microscopic,mammary gland
DTXSID3041794,"99607-70-2",Cloquintocet-mexyl,256,mouse,Oral,CHR,1,1,1,19,systemic,pathology microscopic,mammary gland
DTXSID3041794,"99607-70-2",Cloquintocet-mexyl,256,mouse,Oral,CHR,1,1,0,346,systemic,pathology gross,mammary gland
DTXSID3041794,"99607-70-2",Cloquintocet-mexyl,256,mouse,Oral,CHR,1,1,1,346,systemic,pathology gross,mammary gland
DTXSID3041794,"99607-70-2",Cloquintocet-mexyl,257,rat,Oral,CHR,1,1,0,19,systemic,pathology microscopic,mammary gland
DTXSID3041794,"99607-70-2",Cloquintocet-mexyl,257,rat,Oral,CHR,1,1,1,19,systemic,pathology microscopic,mammary gland
DTXSID3041794,"99607-70-2",Cloquintocet-mexyl,257,rat,Oral,CHR,1,1,0,346,systemic,pathology gross,mammary gland
DTXSID3041794,"99607-70-2",Cloquintocet-mexyl,257,rat,Oral,CHR,1,1,1,346,systemic,pathology gross,mammary gland
DTXSID2032500,"68694-11-1",Triflumizole,269,mouse,Oral,CHR,1,1,1,19,systemic,pathology microscopic,mammary gland
DTXSID2032500,"68694-11-1",Triflumizole,269,mouse,Oral,CHR,1,1,1,346,systemic,pathology gross,mammary gland
DTXSID2032500,"68694-11-1",Triflumizole,270,rat,Oral,CHR,1,1,1,19,systemic,pathology microscopic,mammary gland
DTXSID2032500,"68694-11-1",Triflumizole,270,rat,Oral,CHR,1,1,0,19,systemic,pathology microscopic,mammary gland
DTXSID2032500,"68694-11-1",Triflumizole,270,rat,Oral,CHR,1,1,1,346,systemic,pathology gross,mammary gland
DTXSID2032500,"68694-11-1",Triflumizole,270,rat,Oral,CHR,1,1,0,346,systemic,pathology gross,mammary gland
DTXSID7020764,"101-21-3",Chlorpropham,280,mouse,Oral,CHR,1,1,1,19,systemic,pathology microscopic,mammary gland
DTXSID7020764,"101-21-3",Chlorpropham,280,mouse,Oral,CHR,1,1,0,19,systemic,pathology microscopic,mammary gland
DTXSID7020764,"101-21-3",Chlorpropham,280,mouse,Oral,CHR,1,1,1,346,systemic,pathology gross,mammary gland
DTXSID7020764,"101-21-3",Chlorpropham,280,mouse,Oral,CHR,1,1,0,346,systemic,pathology gross,mammary gland
DTXSID7020764,"101-21-3",Chlorpropham,281,rat,Oral,CHR,1,1,1,19,systemic,pathology microscopic,mammary gland
DTXSID7020764,"101-21-3",Chlorpropham,281,rat,Oral,CHR,1,1,0,19,systemic,pathology microscopic,mammary gland
DTXSID7020764,"101-21-3",Chlorpropham,281,rat,Oral,CHR,1,1,1,346,systemic,pathology gross,mammary gland
DTXSID7020764,"101-21-3",Chlorpropham,281,rat,Oral,CHR,1,1,0,346,systemic,pathology gross,mammary gland
DTXSID7022253,"10453-86-8",Resmethrin,290,mouse,Oral,CHR,1,1,1,19,systemic,pathology microscopic,mammary gland
DTXSID7022253,"10453-86-8",Resmethrin,290,mouse,Oral,CHR,1,1,1,346,systemic,pathology gross,mammary gland
DTXSID7022253,"10453-86-8",Resmethrin,291,mouse,Oral,CHR,1,1,1,19,systemic,pathology microscopic,mammary gland
DTXSID7022253,"10453-86-8",Resmethrin,291,mouse,Oral,CHR,1,1,1,346,systemic,pathology gross,mammary gland
DTXSID7022253,"10453-86-8",Resmethrin,292,rat,Oral,CHR,1,1,1,19,systemic,pathology microscopic,mammary gland
DTXSID7022253,"10453-86-8",Resmethrin,292,rat,Oral,CHR,1,1,0,19,systemic,pathology microscopic,mammary gland
DTXSID7022253,"10453-86-8",Resmethrin,292,rat,Oral,CHR,1,1,1,346,systemic,pathology gross,mammary gland
DTXSID7022253,"10453-86-8",Resmethrin,292,rat,Oral,CHR,1,1,0,346,systemic,pathology gross,mammary gland
DTXSID3024944,"35691-65-7","1,2-Dibromo-2,4-dicyanobutane",309,rat,Dermal,CHR,1,1,1,19,systemic,pathology microscopic,mammary gland
DTXSID3024944,"35691-65-7","1,2-Dibromo-2,4-dicyanobutane",309,rat,Dermal,CHR,1,1,1,346,systemic,pathology gross,mammary gland
DTXSID3024944,"35691-65-7","1,2-Dibromo-2,4-dicyanobutane",310,mouse,Dermal,CHR,1,1,1,19,systemic,pathology microscopic,mammary gland
DTXSID3024944,"35691-65-7","1,2-Dibromo-2,4-dicyanobutane",310,mouse,Dermal,CHR,1,1,0,19,systemic,pathology microscopic,mammary gland
DTXSID3024944,"35691-65-7","1,2-Dibromo-2,4-dicyanobutane",310,mouse,Dermal,CHR,1,1,1,346,systemic,pathology gross,mammary gland
DTXSID3024944,"35691-65-7","1,2-Dibromo-2,4-dicyanobutane",310,mouse,Dermal,CHR,1,1,0,346,systemic,pathology gross,mammary gland
DTXSID7024243,"1910-42-5",Paraquat dichloride,317,mouse,Oral,CHR,1,1,1,19,systemic,pathology microscopic,mammary gland
DTXSID7024243,"1910-42-5",Paraquat dichloride,317,mouse,Oral,CHR,1,1,0,19,systemic,pathology microscopic,mammary gland
DTXSID7024243,"1910-42-5",Paraquat dichloride,317,mouse,Oral,CHR,1,1,1,346,systemic,pathology gross,mammary gland
DTXSID7024243,"1910-42-5",Paraquat dichloride,317,mouse,Oral,CHR,1,1,0,346,systemic,pathology gross,mammary gland
DTXSID7024243,"1910-42-5",Paraquat dichloride,318,rat,Oral,CHR,1,1,1,19,systemic,pathology microscopic,mammary gland
DTXSID7024243,"1910-42-5",Paraquat dichloride,318,rat,Oral,CHR,1,1,0,19,systemic,pathology microscopic,mammary gland
DTXSID7024243,"1910-42-5",Paraquat dichloride,318,rat,Oral,CHR,1,1,1,346,systemic,pathology gross,mammary gland
DTXSID7024243,"1910-42-5",Paraquat dichloride,318,rat,Oral,CHR,1,1,0,346,systemic,pathology gross,mammary gland
DTXSID7024243,"1910-42-5",Paraquat dichloride,319,rat,Oral,CHR,1,1,1,19,systemic,pathology microscopic,mammary gland
DTXSID7024243,"1910-42-5",Paraquat dichloride,319,rat,Oral,CHR,1,1,0,19,systemic,pathology microscopic,mammary gland
DTXSID7024243,"1910-42-5",Paraquat dichloride,319,rat,Oral,CHR,1,1,1,346,systemic,pathology gross,mammary gland
DTXSID7024243,"1910-42-5",Paraquat dichloride,319,rat,Oral,CHR,1,1,0,346,systemic,pathology gross,mammary gland
DTXSID7024243,"1910-42-5",Paraquat dichloride,320,mouse,Oral,CHR,1,1,1,19,systemic,pathology microscopic,mammary gland
DTXSID7024243,"1910-42-5",Paraquat dichloride,320,mouse,Oral,CHR,1,1,0,19,systemic,pathology microscopic,mammary gland
DTXSID7024243,"1910-42-5",Paraquat dichloride,320,mouse,Oral,CHR,1,1,1,346,systemic,pathology gross,mammary gland
DTXSID7024243,"1910-42-5",Paraquat dichloride,320,mouse,Oral,CHR,1,1,0,346,systemic,pathology gross,mammary gland
DTXSID0034695,"2234562",Mancozeb,330,rat,Oral,CHR,1,1,1,19,systemic,pathology microscopic,mammary gland
DTXSID0034695,"2234562",Mancozeb,330,rat,Oral,CHR,1,1,0,19,systemic,pathology microscopic,mammary gland
DTXSID0034695,"2234562",Mancozeb,330,rat,Oral,CHR,1,1,1,346,systemic,pathology gross,mammary gland
DTXSID0034695,"2234562",Mancozeb,330,rat,Oral,CHR,1,1,0,346,systemic,pathology gross,mammary gland
DTXSID9020792,"123-33-1",Maleic hydrazide,336,mouse,Oral,CHR,1,1,0,19,systemic,pathology microscopic,mammary gland
DTXSID9020792,"123-33-1",Maleic hydrazide,336,mouse,Oral,CHR,1,1,1,19,systemic,pathology microscopic,mammary gland
DTXSID9020792,"123-33-1",Maleic hydrazide,336,mouse,Oral,CHR,1,1,0,346,systemic,pathology gross,mammary gland
DTXSID9020792,"123-33-1",Maleic hydrazide,336,mouse,Oral,CHR,1,1,1,346,systemic,pathology gross,mammary gland
DTXSID5020154,"120-32-1",Clorophene,342,mouse,Oral/Gavage,CHR,1,1,0,19,systemic,pathology microscopic,mammary gland
DTXSID5020154,"120-32-1",Clorophene,342,mouse,Oral/Gavage,CHR,1,1,1,19,systemic,pathology microscopic,mammary gland
DTXSID5020154,"120-32-1",Clorophene,342,mouse,Oral/Gavage,CHR,1,1,0,346,systemic,pathology gross,mammary gland
DTXSID5020154,"120-32-1",Clorophene,342,mouse,Oral/Gavage,CHR,1,1,1,346,systemic,pathology gross,mammary gland
DTXSID5020154,"120-32-1",Clorophene,343,rat,Oral,CHR,1,1,0,19,systemic,pathology microscopic,mammary gland
DTXSID5020154,"120-32-1",Clorophene,343,rat,Oral,CHR,1,1,1,19,systemic,pathology microscopic,mammary gland
DTXSID5020154,"120-32-1",Clorophene,343,rat,Oral,CHR,1,1,0,346,systemic,pathology gross,mammary gland
DTXSID5020154,"120-32-1",Clorophene,343,rat,Oral,CHR,1,1,1,346,systemic,pathology gross,mammary gland
DTXSID3024239,"19666-30-9",Oxadiazon,354,mouse,Oral,CHR,1,1,1,19,systemic,pathology microscopic,mammary gland
DTXSID3024239,"19666-30-9",Oxadiazon,354,mouse,Oral,CHR,1,1,0,19,systemic,pathology microscopic,mammary gland
DTXSID3024239,"19666-30-9",Oxadiazon,354,mouse,Oral,CHR,1,1,1,346,systemic,pathology gross,mammary gland
DTXSID3024239,"19666-30-9",Oxadiazon,354,mouse,Oral,CHR,1,1,0,346,systemic,pathology gross,mammary gland
DTXSID3024239,"19666-30-9",Oxadiazon,355,mouse,Oral,CHR,1,1,1,19,systemic,pathology microscopic,mammary gland
DTXSID3024239,"19666-30-9",Oxadiazon,355,mouse,Oral,CHR,1,1,0,19,systemic,pathology microscopic,mammary gland
DTXSID3024239,"19666-30-9",Oxadiazon,355,mouse,Oral,CHR,1,1,1,346,systemic,pathology gross,mammary gland
DTXSID3024239,"19666-30-9",Oxadiazon,355,mouse,Oral,CHR,1,1,0,346,systemic,pathology gross,mammary gland
DTXSID3024239,"19666-30-9",Oxadiazon,356,rat,Oral,CHR,1,1,0,19,systemic,pathology microscopic,mammary gland
DTXSID3024239,"19666-30-9",Oxadiazon,356,rat,Oral,CHR,1,1,1,19,systemic,pathology microscopic,mammary gland
DTXSID3024239,"19666-30-9",Oxadiazon,356,rat,Oral,CHR,1,1,0,346,systemic,pathology gross,mammary gland
DTXSID3024239,"19666-30-9",Oxadiazon,356,rat,Oral,CHR,1,1,1,346,systemic,pathology gross,mammary gland
DTXSID3024239,"19666-30-9",Oxadiazon,357,rat,Oral,CHR,1,1,1,19,systemic,pathology microscopic,mammary gland
DTXSID3024239,"19666-30-9",Oxadiazon,357,rat,Oral,CHR,1,1,0,19,systemic,pathology microscopic,mammary gland
DTXSID3024239,"19666-30-9",Oxadiazon,357,rat,Oral,CHR,1,1,1,346,systemic,pathology gross,mammary gland
DTXSID3024239,"19666-30-9",Oxadiazon,357,rat,Oral,CHR,1,1,0,346,systemic,pathology gross,mammary gland
DTXSID0023901,"25057-89-0",Bentazon,364,rat,Oral,CHR,1,1,1,19,systemic,pathology microscopic,mammary gland
