"dsstox_substance_id","casrn","preferred_name","study_id","study_source","species","admin_route","study_type","study_type_guideline","processed","dose_start","dose_start_unit","dose_end","dose_end_unit","tested_status","reported_status","endpoint_id","endpoint_category","endpoint_type","endpoint_target"
DTXSID9034496,"127277-53-6",Prohexadione-calcium,78,opp_der,rat,Oral,CHR,Combined chronic toxicity/carcinogenicity,1,0,day,104,week,1,1,19,systemic,pathology microscopic,mammary gland
DTXSID9034496,"127277-53-6",Prohexadione-calcium,78,opp_der,rat,Oral,CHR,Combined chronic toxicity/carcinogenicity,1,0,day,104,week,1,0,19,systemic,pathology microscopic,mammary gland
DTXSID9034496,"127277-53-6",Prohexadione-calcium,78,opp_der,rat,Oral,CHR,Combined chronic toxicity/carcinogenicity,1,0,day,104,week,1,1,346,systemic,pathology gross,mammary gland
DTXSID9034496,"127277-53-6",Prohexadione-calcium,78,opp_der,rat,Oral,CHR,Combined chronic toxicity/carcinogenicity,1,0,day,104,week,1,0,346,systemic,pathology gross,mammary gland
DTXSID0032572,"23031-36-9",Prallethrin,89,opp_der,mouse,Oral,CHR,Carcinogenicity,1,0,day,82,week,1,1,19,systemic,pathology microscopic,mammary gland
DTXSID0032572,"23031-36-9",Prallethrin,89,opp_der,mouse,Oral,CHR,Carcinogenicity,1,0,day,82,week,1,0,19,systemic,pathology microscopic,mammary gland
DTXSID0032572,"23031-36-9",Prallethrin,89,opp_der,mouse,Oral,CHR,Carcinogenicity,1,0,day,82,week,1,1,346,systemic,pathology gross,mammary gland
DTXSID0032572,"23031-36-9",Prallethrin,89,opp_der,mouse,Oral,CHR,Carcinogenicity,1,0,day,82,week,1,0,346,systemic,pathology gross,mammary gland
DTXSID0032572,"23031-36-9",Prallethrin,90,opp_der,rat,Oral,CHR,Combined chronic toxicity/carcinogenicity,1,0,day,24,month,1,1,19,systemic,pathology microscopic,mammary gland
DTXSID0032572,"23031-36-9",Prallethrin,90,opp_der,rat,Oral,CHR,Combined chronic toxicity/carcinogenicity,1,0,day,24,month,1,0,19,systemic,pathology microscopic,mammary gland
DTXSID0032572,"23031-36-9",Prallethrin,90,opp_der,rat,Oral,CHR,Combined chronic toxicity/carcinogenicity,1,0,day,24,month,1,1,346,systemic,pathology gross,mammary gland
DTXSID0032572,"23031-36-9",Prallethrin,90,opp_der,rat,Oral,CHR,Combined chronic toxicity/carcinogenicity,1,0,day,24,month,1,0,346,systemic,pathology gross,mammary gland
DTXSID1032482,"96182-53-5",Tebupirimfos,98,opp_der,mouse,Oral,CHR,Combined chronic toxicity/carcinogenicity,1,0,day,2,year,1,0,19,systemic,pathology microscopic,mammary gland
DTXSID1032482,"96182-53-5",Tebupirimfos,98,opp_der,mouse,Oral,CHR,Combined chronic toxicity/carcinogenicity,1,0,day,2,year,1,1,19,systemic,pathology microscopic,mammary gland
DTXSID1032482,"96182-53-5",Tebupirimfos,98,opp_der,mouse,Oral,CHR,Combined chronic toxicity/carcinogenicity,1,0,day,2,year,1,0,346,systemic,pathology gross,mammary gland
DTXSID1032482,"96182-53-5",Tebupirimfos,98,opp_der,mouse,Oral,CHR,Combined chronic toxicity/carcinogenicity,1,0,day,2,year,1,1,346,systemic,pathology gross,mammary gland
DTXSID1032482,"96182-53-5",Tebupirimfos,99,opp_der,rat,Oral,CHR,Combined chronic toxicity/carcinogenicity,1,0,day,2,year,1,1,19,systemic,pathology microscopic,mammary gland
DTXSID1032482,"96182-53-5",Tebupirimfos,99,opp_der,rat,Oral,CHR,Combined chronic toxicity/carcinogenicity,1,0,day,2,year,1,0,19,systemic,pathology microscopic,mammary gland
DTXSID1032482,"96182-53-5",Tebupirimfos,99,opp_der,rat,Oral,CHR,Combined chronic toxicity/carcinogenicity,1,0,day,2,year,1,1,346,systemic,pathology gross,mammary gland
DTXSID1032482,"96182-53-5",Tebupirimfos,99,opp_der,rat,Oral,CHR,Combined chronic toxicity/carcinogenicity,1,0,day,2,year,1,0,346,systemic,pathology gross,mammary gland
DTXSID1032640,"95737-68-1",Pyriproxyfen,107,opp_der,mouse,Oral,CHR,Carcinogenicity,1,0,day,78,week,1,1,19,systemic,pathology microscopic,mammary gland
DTXSID1032640,"95737-68-1",Pyriproxyfen,107,opp_der,mouse,Oral,CHR,Carcinogenicity,1,0,day,78,week,1,1,346,systemic,pathology gross,mammary gland
DTXSID1032640,"95737-68-1",Pyriproxyfen,108,opp_der,rat,Oral,CHR,Combined chronic toxicity/carcinogenicity,1,0,day,24,month,1,1,19,systemic,pathology microscopic,mammary gland
DTXSID1032640,"95737-68-1",Pyriproxyfen,108,opp_der,rat,Oral,CHR,Combined chronic toxicity/carcinogenicity,1,0,day,24,month,1,0,19,systemic,pathology microscopic,mammary gland
DTXSID1032640,"95737-68-1",Pyriproxyfen,108,opp_der,rat,Oral,CHR,Combined chronic toxicity/carcinogenicity,1,0,day,24,month,1,1,346,systemic,pathology gross,mammary gland
DTXSID1032640,"95737-68-1",Pyriproxyfen,108,opp_der,rat,Oral,CHR,Combined chronic toxicity/carcinogenicity,1,0,day,24,month,1,0,346,systemic,pathology gross,mammary gland
DTXSID6034928,"148477-71-8",Spirodiclofen,116,opp_der,mouse,Oral,CHR,Carcinogenicity,1,0,day,18,month,1,1,19,systemic,pathology microscopic,mammary gland
DTXSID6034928,"148477-71-8",Spirodiclofen,116,opp_der,mouse,Oral,CHR,Carcinogenicity,1,0,day,18,month,1,0,19,systemic,pathology microscopic,mammary gland
DTXSID6034928,"148477-71-8",Spirodiclofen,116,opp_der,mouse,Oral,CHR,Carcinogenicity,1,0,day,18,month,1,1,346,systemic,pathology gross,mammary gland
DTXSID6034928,"148477-71-8",Spirodiclofen,116,opp_der,mouse,Oral,CHR,Carcinogenicity,1,0,day,18,month,1,0,346,systemic,pathology gross,mammary gland
DTXSID6034928,"148477-71-8",Spirodiclofen,117,opp_der,rat,Oral,CHR,Combined chronic toxicity/carcinogenicity,1,0,day,24,month,1,1,19,systemic,pathology microscopic,mammary gland
DTXSID6034928,"148477-71-8",Spirodiclofen,117,opp_der,rat,Oral,CHR,Combined chronic toxicity/carcinogenicity,1,0,day,24,month,1,0,19,systemic,pathology microscopic,mammary gland
DTXSID6034928,"148477-71-8",Spirodiclofen,117,opp_der,rat,Oral,CHR,Combined chronic toxicity/carcinogenicity,1,0,day,24,month,1,1,346,systemic,pathology gross,mammary gland
DTXSID6034928,"148477-71-8",Spirodiclofen,117,opp_der,rat,Oral,CHR,Combined chronic toxicity/carcinogenicity,1,0,day,24,month,1,0,346,systemic,pathology gross,mammary gland
DTXSID8040222,"199119-58-9",Trifloxysulfuron-sodium,124,opp_der,mouse,Oral,CHR,Carcinogenicity,1,0,day,18,month,1,1,19,systemic,pathology microscopic,mammary gland
DTXSID8040222,"199119-58-9",Trifloxysulfuron-sodium,124,opp_der,mouse,Oral,CHR,Carcinogenicity,1,0,day,18,month,1,0,19,systemic,pathology microscopic,mammary gland
DTXSID8040222,"199119-58-9",Trifloxysulfuron-sodium,124,opp_der,mouse,Oral,CHR,Carcinogenicity,1,0,day,18,month,1,1,346,systemic,pathology gross,mammary gland
DTXSID8040222,"199119-58-9",Trifloxysulfuron-sodium,124,opp_der,mouse,Oral,CHR,Carcinogenicity,1,0,day,18,month,1,0,346,systemic,pathology gross,mammary gland
DTXSID8040222,"199119-58-9",Trifloxysulfuron-sodium,125,opp_der,rat,Oral,CHR,Combined chronic toxicity/carcinogenicity,1,0,day,24,month,1,1,19,systemic,pathology microscopic,mammary gland
DTXSID8040222,"199119-58-9",Trifloxysulfuron-sodium,125,opp_der,rat,Oral,CHR,Combined chronic toxicity/carcinogenicity,1,0,day,24,month,1,0,19,systemic,pathology microscopic,mammary gland
DTXSID8040222,"199119-58-9",Trifloxysulfuron-sodium,125,opp_der,rat,Oral,CHR,Combined chronic toxicity/carcinogenicity,1,0,day,24,month,1,1,346,systemic,pathology gross,mammary gland
DTXSID8040222,"199119-58-9",Trifloxysulfuron-sodium,125,opp_der,rat,Oral,CHR,Combined chronic toxicity/carcinogenicity,1,0,day,24,month,1,0,346,systemic,pathology gross,mammary gland
DTXSID6032358,"57966-95-7",Cymoxanil,135,opp_der,mouse,Oral,CHR,Carcinogenicity,1,0,day,18,month,1,1,19,systemic,pathology microscopic,mammary gland
DTXSID6032358,"57966-95-7",Cymoxanil,135,opp_der,mouse,Oral,CHR,Carcinogenicity,1,0,day,18,month,1,0,19,systemic,pathology microscopic,mammary gland
DTXSID6032358,"57966-95-7",Cymoxanil,135,opp_der,mouse,Oral,CHR,Carcinogenicity,1,0,day,18,month,1,1,346,systemic,pathology gross,mammary gland
DTXSID6032358,"57966-95-7",Cymoxanil,135,opp_der,mouse,Oral,CHR,Carcinogenicity,1,0,day,18,month,1,0,346,systemic,pathology gross,mammary gland
DTXSID6032358,"57966-95-7",Cymoxanil,136,opp_der,rat,Oral,CHR,Combined chronic toxicity/carcinogenicity,1,0,day,24,month,1,1,19,systemic,pathology microscopic,mammary gland
DTXSID6032358,"57966-95-7",Cymoxanil,136,opp_der,rat,Oral,CHR,Combined chronic toxicity/carcinogenicity,1,0,day,24,month,1,0,19,systemic,pathology microscopic,mammary gland
DTXSID6032358,"57966-95-7",Cymoxanil,136,opp_der,rat,Oral,CHR,Combined chronic toxicity/carcinogenicity,1,0,day,24,month,1,1,346,systemic,pathology gross,mammary gland
DTXSID6032358,"57966-95-7",Cymoxanil,136,opp_der,rat,Oral,CHR,Combined chronic toxicity/carcinogenicity,1,0,day,24,month,1,0,346,systemic,pathology gross,mammary gland
DTXSID8034877,"53112-28-0",Pyrimethanil,158,opp_der,mouse,Oral,CHR,Carcinogenicity,1,0,day,80,week,1,1,19,systemic,pathology microscopic,mammary gland
DTXSID8034877,"53112-28-0",Pyrimethanil,158,opp_der,mouse,Oral,CHR,Carcinogenicity,1,0,day,80,week,1,1,346,systemic,pathology gross,mammary gland
DTXSID8034877,"53112-28-0",Pyrimethanil,159,opp_der,rat,Oral,CHR,Combined chronic toxicity/carcinogenicity,1,0,day,104,week,1,1,19,systemic,pathology microscopic,mammary gland
DTXSID8034877,"53112-28-0",Pyrimethanil,159,opp_der,rat,Oral,CHR,Combined chronic toxicity/carcinogenicity,1,0,day,104,week,1,0,19,systemic,pathology microscopic,mammary gland
DTXSID8034877,"53112-28-0",Pyrimethanil,159,opp_der,rat,Oral,CHR,Combined chronic toxicity/carcinogenicity,1,0,day,104,week,1,1,346,systemic,pathology gross,mammary gland
DTXSID8034877,"53112-28-0",Pyrimethanil,159,opp_der,rat,Oral,CHR,Combined chronic toxicity/carcinogenicity,1,0,day,104,week,1,0,346,systemic,pathology gross,mammary gland
DTXSID3032628,"161050-58-4",Methoxyfenozide,167,opp_der,mouse,Oral,CHR,Carcinogenicity,1,0,day,18,month,1,1,19,systemic,pathology microscopic,mammary gland
DTXSID3032628,"161050-58-4",Methoxyfenozide,167,opp_der,mouse,Oral,CHR,Carcinogenicity,1,0,day,18,month,1,0,19,systemic,pathology microscopic,mammary gland
DTXSID3032628,"161050-58-4",Methoxyfenozide,167,opp_der,mouse,Oral,CHR,Carcinogenicity,1,0,day,18,month,1,1,346,systemic,pathology gross,mammary gland
DTXSID3032628,"161050-58-4",Methoxyfenozide,167,opp_der,mouse,Oral,CHR,Carcinogenicity,1,0,day,18,month,1,0,346,systemic,pathology gross,mammary gland
DTXSID3032628,"161050-58-4",Methoxyfenozide,168,opp_der,rat,Oral,CHR,Combined chronic toxicity/carcinogenicity,1,0,day,24,month,1,0,19,systemic,pathology microscopic,mammary gland
DTXSID3032628,"161050-58-4",Methoxyfenozide,168,opp_der,rat,Oral,CHR,Combined chronic toxicity/carcinogenicity,1,0,day,24,month,1,1,19,systemic,pathology microscopic,mammary gland
DTXSID3032628,"161050-58-4",Methoxyfenozide,168,opp_der,rat,Oral,CHR,Combined chronic toxicity/carcinogenicity,1,0,day,24,month,1,0,346,systemic,pathology gross,mammary gland
DTXSID3032628,"161050-58-4",Methoxyfenozide,168,opp_der,rat,Oral,CHR,Combined chronic toxicity/carcinogenicity,1,0,day,24,month,1,1,346,systemic,pathology gross,mammary gland
DTXSID0034227,"119515-38-7",Icaridin,174,opp_der,mouse,Dermal,CHR,Carcinogenicity,1,0,day,18,month,1,1,19,systemic,pathology microscopic,mammary gland
DTXSID0034227,"119515-38-7",Icaridin,174,opp_der,mouse,Dermal,CHR,Carcinogenicity,1,0,day,18,month,1,1,346,systemic,pathology gross,mammary gland
DTXSID0034227,"119515-38-7",Icaridin,175,opp_der,rat,Dermal,CHR,Combined chronic toxicity/carcinogenicity,1,0,day,24,month,1,1,19,systemic,pathology microscopic,mammary gland
DTXSID0034227,"119515-38-7",Icaridin,175,opp_der,rat,Dermal,CHR,Combined chronic toxicity/carcinogenicity,1,0,day,24,month,1,1,346,systemic,pathology gross,mammary gland
DTXSID7024299,"78587-05-0",Hexythiazox,181,opp_der,rat,Oral,CHR,Combined chronic toxicity/carcinogenicity,1,0,day,24,month,1,1,19,systemic,pathology microscopic,mammary gland
DTXSID7024299,"78587-05-0",Hexythiazox,181,opp_der,rat,Oral,CHR,Combined chronic toxicity/carcinogenicity,1,0,day,24,month,1,0,19,systemic,pathology microscopic,mammary gland
DTXSID7024299,"78587-05-0",Hexythiazox,181,opp_der,rat,Oral,CHR,Combined chronic toxicity/carcinogenicity,1,0,day,24,month,1,1,346,systemic,pathology gross,mammary gland
DTXSID7024299,"78587-05-0",Hexythiazox,181,opp_der,rat,Oral,CHR,Combined chronic toxicity/carcinogenicity,1,0,day,24,month,1,0,346,systemic,pathology gross,mammary gland
DTXSID7024299,"78587-05-0",Hexythiazox,182,opp_der,mouse,Oral,CHR,Combined chronic toxicity/carcinogenicity,1,0,day,104,week,1,1,19,systemic,pathology microscopic,mammary gland
DTXSID7024299,"78587-05-0",Hexythiazox,182,opp_der,mouse,Oral,CHR,Combined chronic toxicity/carcinogenicity,1,0,day,104,week,1,0,19,systemic,pathology microscopic,mammary gland
DTXSID7024299,"78587-05-0",Hexythiazox,182,opp_der,mouse,Oral,CHR,Combined chronic toxicity/carcinogenicity,1,0,day,104,week,1,1,346,systemic,pathology gross,mammary gland
DTXSID7024299,"78587-05-0",Hexythiazox,182,opp_der,mouse,Oral,CHR,Combined chronic toxicity/carcinogenicity,1,0,day,104,week,1,0,346,systemic,pathology gross,mammary gland
DTXSID5021754,"77-71-4","5,5-Dimethylhydantoin",194,opp_der,mouse,Oral,CHR,Carcinogenicity,1,0,day,18,month,1,1,19,systemic,pathology microscopic,mammary gland
DTXSID5021754,"77-71-4","5,5-Dimethylhydantoin",194,opp_der,mouse,Oral,CHR,Carcinogenicity,1,0,day,18,month,1,0,19,systemic,pathology microscopic,mammary gland
DTXSID5021754,"77-71-4","5,5-Dimethylhydantoin",194,opp_der,mouse,Oral,CHR,Carcinogenicity,1,0,day,18,month,1,1,346,systemic,pathology gross,mammary gland
DTXSID5021754,"77-71-4","5,5-Dimethylhydantoin",194,opp_der,mouse,Oral,CHR,Carcinogenicity,1,0,day,18,month,1,0,346,systemic,pathology gross,mammary gland
DTXSID5021754,"77-71-4","5,5-Dimethylhydantoin",195,opp_der,mouse,Oral,CHR,Carcinogenicity,1,0,day,78,week,1,1,19,systemic,pathology microscopic,mammary gland
DTXSID5021754,"77-71-4","5,5-Dimethylhydantoin",195,opp_der,mouse,Oral,CHR,Carcinogenicity,1,0,day,78,week,1,1,346,systemic,pathology gross,mammary gland
DTXSID5021754,"77-71-4","5,5-Dimethylhydantoin",196,opp_der,rat,Oral,CHR,Combined chronic toxicity/carcinogenicity,1,0,week,104,week,1,1,19,systemic,pathology microscopic,mammary gland
DTXSID5021754,"77-71-4","5,5-Dimethylhydantoin",196,opp_der,rat,Oral,CHR,Combined chronic toxicity/carcinogenicity,1,0,week,104,week,1,0,19,systemic,pathology microscopic,mammary gland
DTXSID5021754,"77-71-4","5,5-Dimethylhydantoin",196,opp_der,rat,Oral,CHR,Combined chronic toxicity/carcinogenicity,1,0,week,104,week,1,1,346,systemic,pathology gross,mammary gland
DTXSID5021754,"77-71-4","5,5-Dimethylhydantoin",196,opp_der,rat,Oral,CHR,Combined chronic toxicity/carcinogenicity,1,0,week,104,week,1,0,346,systemic,pathology gross,mammary gland
DTXSID5021754,"77-71-4","5,5-Dimethylhydantoin",197,opp_der,rat,Oral,CHR,Combined chronic toxicity/carcinogenicity,1,0,day,24,month,1,1,19,systemic,pathology microscopic,mammary gland
DTXSID5021754,"77-71-4","5,5-Dimethylhydantoin",197,opp_der,rat,Oral,CHR,Combined chronic toxicity/carcinogenicity,1,0,day,24,month,1,0,19,systemic,pathology microscopic,mammary gland
DTXSID5021754,"77-71-4","5,5-Dimethylhydantoin",197,opp_der,rat,Oral,CHR,Combined chronic toxicity/carcinogenicity,1,0,day,24,month,1,1,346,systemic,pathology gross,mammary gland
DTXSID5021754,"77-71-4","5,5-Dimethylhydantoin",197,opp_der,rat,Oral,CHR,Combined chronic toxicity/carcinogenicity,1,0,day,24,month,1,0,346,systemic,pathology gross,mammary gland
DTXSID3024102,"22224-92-6",Fenamiphos,211,opp_der,mouse,Oral,CHR,Carcinogenicity,1,0,day,87,week,1,0,19,systemic,pathology microscopic,mammary gland
DTXSID3024102,"22224-92-6",Fenamiphos,211,opp_der,mouse,Oral,CHR,Carcinogenicity,1,0,day,87,week,1,1,19,systemic,pathology microscopic,mammary gland
DTXSID3024102,"22224-92-6",Fenamiphos,211,opp_der,mouse,Oral,CHR,Carcinogenicity,1,0,day,87,week,1,0,346,systemic,pathology gross,mammary gland
DTXSID3024102,"22224-92-6",Fenamiphos,211,opp_der,mouse,Oral,CHR,Carcinogenicity,1,0,day,87,week,1,1,346,systemic,pathology gross,mammary gland
DTXSID3024102,"22224-92-6",Fenamiphos,212,opp_der,rat,Oral,CHR,Combined chronic toxicity/carcinogenicity,1,0,day,24,month,1,1,19,systemic,pathology microscopic,mammary gland
DTXSID3024102,"22224-92-6",Fenamiphos,212,opp_der,rat,Oral,CHR,Combined chronic toxicity/carcinogenicity,1,0,day,24,month,1,1,346,systemic,pathology gross,mammary gland
DTXSID1024120,"77182-82-2",Glufosinate-ammonium,230,opp_der,rat,Oral,CHR,Carcinogenicity,1,0,week,104,week,1,1,19,systemic,pathology microscopic,mammary gland
DTXSID1024120,"77182-82-2",Glufosinate-ammonium,230,opp_der,rat,Oral,CHR,Carcinogenicity,1,0,week,104,week,1,1,346,systemic,pathology gross,mammary gland
DTXSID1024120,"77182-82-2",Glufosinate-ammonium,231,opp_der,rat,Oral,CHR,Combined chronic toxicity/carcinogenicity,1,0,week,130,week,1,1,19,systemic,pathology microscopic,mammary gland
DTXSID1024120,"77182-82-2",Glufosinate-ammonium,231,opp_der,rat,Oral,CHR,Combined chronic toxicity/carcinogenicity,1,0,week,130,week,1,0,19,systemic,pathology microscopic,mammary gland
DTXSID1024120,"77182-82-2",Glufosinate-ammonium,231,opp_der,rat,Oral,CHR,Combined chronic toxicity/carcinogenicity,1,0,week,130,week,1,1,346,systemic,pathology gross,mammary gland
DTXSID1024120,"77182-82-2",Glufosinate-ammonium,231,opp_der,rat,Oral,CHR,Combined chronic toxicity/carcinogenicity,1,0,week,130,week,1,0,346,systemic,pathology gross,mammary gland
DTXSID4021975,"122-39-4",Diphenylamine,239,opp_der,mouse,Oral,CHR,Carcinogenicity,1,0,day,18,month,1,1,19,systemic,pathology microscopic,mammary gland
DTXSID4021975,"122-39-4",Diphenylamine,239,opp_der,mouse,Oral,CHR,Carcinogenicity,1,0,day,18,month,1,0,19,systemic,pathology microscopic,mammary gland
DTXSID4021975,"122-39-4",Diphenylamine,239,opp_der,mouse,Oral,CHR,Carcinogenicity,1,0,day,18,month,1,1,346,systemic,pathology gross,mammary gland
DTXSID4021975,"122-39-4",Diphenylamine,239,opp_der,mouse,Oral,CHR,Carcinogenicity,1,0,day,18,month,1,0,346,systemic,pathology gross,mammary gland
DTXSID4021975,"122-39-4",Diphenylamine,240,opp_der,rat,Oral,CHR,Combined chronic toxicity/carcinogenicity,1,0,day,24,month,1,1,19,systemic,pathology microscopic,mammary gland
DTXSID4021975,"122-39-4",Diphenylamine,240,opp_der,rat,Oral,CHR,Combined chronic toxicity/carcinogenicity,1,0,day,24,month,1,0,19,systemic,pathology microscopic,mammary gland
DTXSID4021975,"122-39-4",Diphenylamine,240,opp_der,rat,Oral,CHR,Combined chronic toxicity/carcinogenicity,1,0,day,24,month,1,1,346,systemic,pathology gross,mammary gland
DTXSID4021975,"122-39-4",Diphenylamine,240,opp_der,rat,Oral,CHR,Combined chronic toxicity/carcinogenicity,1,0,day,24,month,1,0,346,systemic,pathology gross,mammary gland
DTXSID4032615,"98967-40-9",Flumetsulam,248,opp_der,mouse,Oral,CHR,Carcinogenicity,1,0,day,24,month,1,1,19,systemic,pathology microscopic,mammary gland
DTXSID4032615,"98967-40-9",Flumetsulam,248,opp_der,mouse,Oral,CHR,Carcinogenicity,1,0,day,24,month,1,1,346,systemic,pathology gross,mammary gland
DTXSID4032615,"98967-40-9",Flumetsulam,249,opp_der,rat,Oral,CHR,Combined chronic toxicity/carcinogenicity,1,0,day,2,year,1,1,19,systemic,pathology microscopic,mammary gland
DTXSID4032615,"98967-40-9",Flumetsulam,249,opp_der,rat,Oral,CHR,Combined chronic toxicity/carcinogenicity,1,0,day,2,year,1,0,19,systemic,pathology microscopic,mammary gland
DTXSID4032615,"98967-40-9",Flumetsulam,249,opp_der,rat,Oral,CHR,Combined chronic toxicity/carcinogenicity,1,0,day,2,year,1,1,346,systemic,pathology gross,mammary gland
DTXSID4032615,"98967-40-9",Flumetsulam,249,opp_der,rat,Oral,CHR,Combined chronic toxicity/carcinogenicity,1,0,day,2,year,1,0,346,systemic,pathology gross,mammary gland
DTXSID3041794,"99607-70-2",Cloquintocet-mexyl,256,opp_der,mouse,Oral,CHR,Carcinogenicity,1,0,month,18,month,1,0,19,systemic,pathology microscopic,mammary gland
DTXSID3041794,"99607-70-2",Cloquintocet-mexyl,256,opp_der,mouse,Oral,CHR,Carcinogenicity,1,0,month,18,month,1,1,19,systemic,pathology microscopic,mammary gland
DTXSID3041794,"99607-70-2",Cloquintocet-mexyl,256,opp_der,mouse,Oral,CHR,Carcinogenicity,1,0,month,18,month,1,0,346,systemic,pathology gross,mammary gland
DTXSID3041794,"99607-70-2",Cloquintocet-mexyl,256,opp_der,mouse,Oral,CHR,Carcinogenicity,1,0,month,18,month,1,1,346,systemic,pathology gross,mammary gland
DTXSID3041794,"99607-70-2",Cloquintocet-mexyl,257,opp_der,rat,Oral,CHR,Combined chronic toxicity/carcinogenicity,1,0,month,24,month,1,0,19,systemic,pathology microscopic,mammary gland
DTXSID3041794,"99607-70-2",Cloquintocet-mexyl,257,opp_der,rat,Oral,CHR,Combined chronic toxicity/carcinogenicity,1,0,month,24,month,1,1,19,systemic,pathology microscopic,mammary gland
DTXSID3041794,"99607-70-2",Cloquintocet-mexyl,257,opp_der,rat,Oral,CHR,Combined chronic toxicity/carcinogenicity,1,0,month,24,month,1,0,346,systemic,pathology gross,mammary gland
DTXSID3041794,"99607-70-2",Cloquintocet-mexyl,257,opp_der,rat,Oral,CHR,Combined chronic toxicity/carcinogenicity,1,0,month,24,month,1,1,346,systemic,pathology gross,mammary gland
DTXSID2032500,"68694-11-1",Triflumizole,269,opp_der,mouse,Oral,CHR,Carcinogenicity,1,0,day,104,week,1,1,19,systemic,pathology microscopic,mammary gland
DTXSID2032500,"68694-11-1",Triflumizole,269,opp_der,mouse,Oral,CHR,Carcinogenicity,1,0,day,104,week,1,1,346,systemic,pathology gross,mammary gland
DTXSID2032500,"68694-11-1",Triflumizole,270,opp_der,rat,Oral,CHR,Combined chronic toxicity/carcinogenicity,1,0,week,104,week,1,1,19,systemic,pathology microscopic,mammary gland
DTXSID2032500,"68694-11-1",Triflumizole,270,opp_der,rat,Oral,CHR,Combined chronic toxicity/carcinogenicity,1,0,week,104,week,1,0,19,systemic,pathology microscopic,mammary gland
DTXSID2032500,"68694-11-1",Triflumizole,270,opp_der,rat,Oral,CHR,Combined chronic toxicity/carcinogenicity,1,0,week,104,week,1,1,346,systemic,pathology gross,mammary gland
DTXSID2032500,"68694-11-1",Triflumizole,270,opp_der,rat,Oral,CHR,Combined chronic toxicity/carcinogenicity,1,0,week,104,week,1,0,346,systemic,pathology gross,mammary gland
DTXSID7020764,"101-21-3",Chlorpropham,280,opp_der,mouse,Oral,CHR,Carcinogenicity,1,0,day,18,month,1,1,19,systemic,pathology microscopic,mammary gland
DTXSID7020764,"101-21-3",Chlorpropham,280,opp_der,mouse,Oral,CHR,Carcinogenicity,1,0,day,18,month,1,0,19,systemic,pathology microscopic,mammary gland
DTXSID7020764,"101-21-3",Chlorpropham,280,opp_der,mouse,Oral,CHR,Carcinogenicity,1,0,day,18,month,1,1,346,systemic,pathology gross,mammary gland
DTXSID7020764,"101-21-3",Chlorpropham,280,opp_der,mouse,Oral,CHR,Carcinogenicity,1,0,day,18,month,1,0,346,systemic,pathology gross,mammary gland
DTXSID7020764,"101-21-3",Chlorpropham,281,opp_der,rat,Oral,CHR,Combined chronic toxicity/carcinogenicity,1,0,day,24,month,1,1,19,systemic,pathology microscopic,mammary gland
DTXSID7020764,"101-21-3",Chlorpropham,281,opp_der,rat,Oral,CHR,Combined chronic toxicity/carcinogenicity,1,0,day,24,month,1,0,19,systemic,pathology microscopic,mammary gland
